"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"p__Actinobacteria",30.4158192600058,-0.980564814820129,0.418709534146837,-2.34187362563436,0.019187210512792,0.103048884999442,FALSE,"phylum"
"p__Bacteroidetes",696.764678587828,-0.185791579067235,0.295854172111163,-0.627983637146162,0.530014659177135,0.942271693851081,FALSE,"phylum"
"p__Candidatus_Melainabacteria",0.167508351609673,1.39697927099259,3.44714286105307,0.405257144047064,0.685288504618968,0.942271693851081,FALSE,"phylum"
"p__Euryarchaeota",1.13023402073355,1.03199496121499,1.21166839814575,0.851714019111395,0.394372837738398,0.867620243024476,FALSE,"phylum"
"p__Firmicutes",319.236311551548,1.51147219990195e-09,0.0270354984358823,5.59069478037024e-08,0.999999955392709,0.999999955392709,FALSE,"phylum"
"p__Fusobacteria",0.0859620423909616,0.969127203232847,3.45332359990647,0.280636081501049,0.778989538644435,0.952098325009865,FALSE,"phylum"
"p__Lentisphaerae",0.019537105970107,-0.313807398109774,3.45574881477513,-0.0908073517288303,0.927645668354667,0.999999955392709,FALSE,"phylum"
"p__Proteobacteria",29.54539544028,-1.20161805967161,0.521500067270758,-2.3041570559333,0.0212138288787893,0.103048884999442,FALSE,"phylum"
"p__Synergistetes",0.931132955058606,-2.51217527771645,2.69970750065934,-0.930536095892946,0.352093584090399,0.867620243024476,FALSE,"phylum"
"p__Verrucomicrobia",15.1297635046229,0.589299717634486,1.13674611870791,0.51840926301496,0.604172753167862,0.942271693851081,FALSE,"phylum"
"p__Viruses_unclassified",9.42815350377645,-1.27591940654601,0.58106522087045,-2.19582821466177,0.0281042413634841,0.103048884999442,FALSE,"phylum"
"c__Actinobacteria",16.3002685757999,-1.95101278145194,0.761551629031263,-2.561891678879,0.0104103781808526,0.0572570799946892,FALSE,"class"
"c__Alphaproteobacteria",0.0558475532149107,-0.0170230348894788,3.45565264659753,-0.00492614178286693,0.99606952342386,0.999999960248577,FALSE,"class"
"c__Bacilli",28.7357513262827,-2.68813700632596,0.684591240594895,-3.92663073513769,8.61440784567802e-05,0.000947584863024582,TRUE,"class"
"c__Bacteroidia",714.631217766501,-0.338616023561482,0.306887614057162,-1.1033877160595,0.269858828885041,0.593689423547091,FALSE,"class"
"c__Betaproteobacteria",3.84794400138994,-1.0871883293926,0.848727614259566,-1.2809625975715,0.200206803818929,0.492262381022524,FALSE,"class"
"c__Candidatus_Melainabacteria_unclassified",0.151474068184657,1.17437429764531,3.23430463017597,0.363099470188562,0.716530580381152,0.982006223599179,FALSE,"class"
"c__Clostridia",268.000445240437,1.13101515644635e-09,0.0227015652988931,4.98210207778711e-08,0.999999960248577,0.999999960248577,FALSE,"class"
"c__Coriobacteriia",16.1846395113625,-0.772222039291093,0.4217561161683,-1.83096820576502,0.0671052887938152,0.210902336209133,FALSE,"class"
"c__Deltaproteobacteria",1.56757585107652,0.338085567213324,0.745201568217074,0.453683381292672,0.650056729939759,0.953416537244979,FALSE,"class"
"c__Epsilonproteobacteria",0.0172015690141487,-0.46599603700431,3.45574178779457,-0.1348468912377,0.892732930544708,0.982006223599179,FALSE,"class"
"c__Erysipelotrichia",2.33625123698382,0.520847970120146,0.716002654964928,0.727438601670631,0.466957314633486,0.747534251854923,FALSE,"class"
"c__Firmicutes_unclassified",11.2885941952684,0.764188145844876,0.59812965872074,1.27762958198611,0.20138006496376,0.492262381022524,FALSE,"class"
"c__Fusobacteriia",0.0761141312224291,0.777966373920511,3.45313681507316,0.225292658699371,0.821751610391662,0.982006223599179,FALSE,"class"
"c__Gammaproteobacteria",12.8214041259493,-1.86519816893152,1.01859435676942,-1.83114912873383,0.0670782873029118,0.210902336209133,FALSE,"class"
"c__Lentisphaeria",0.0172015690141487,-0.46599603700431,3.45574178779457,-0.1348468912377,0.892732930544708,0.982006223599179,FALSE,"class"
"c__Methanobacteria",1.02945235546649,0.742671845731015,1.04127999553658,0.71322972583211,0.475703614816769,0.747534251854923,FALSE,"class"
"c__Negativicutes",16.8350354258755,-2.64903387871474,0.566536863642638,-4.67583673493434,2.92757457261073e-06,6.44066405974361e-05,TRUE,"class"
"c__Proteobacteria_unclassified",5.90469706867214,-2.96755123519279,1.2274628974463,-2.41763008997396,0.01562194876987,0.0687365745874279,FALSE,"class"
"c__Synergistia",0.91867054818032,-2.61825287851006,2.63020931751326,-0.99545418726807,0.319515415229305,0.63903083045861,FALSE,"class"
"c__Thermoplasmata",0.0390340301644734,0.50150785295801,3.45484848356099,0.145160592525058,0.884584078926929,0.982006223599179,FALSE,"class"
"c__Verrucomicrobiae",11.1619012393497,0.951062649899541,1.0861968109113,0.875589617227488,0.381253171838703,0.698964148370956,FALSE,"class"
"c__Viruses_unclassified",10.0349917801026,-1.50258484574273,0.57929023921987,-2.59383767240108,0.00949112866768598,0.0572570799946892,FALSE,"class"
"o__Acidaminococcales",10.3252519687488,-2.58210472308934,0.675609728343362,-3.82188801428425,0.000132433831726463,0.00211894130762341,TRUE,"order"
"o__Actinomycetales",0.0137111129200487,-0.506061047878098,3.45573925565527,-0.146440749848223,0.883573460303531,0.952248459247689,FALSE,"order"
"o__Aeromonadales",0.0150056240336191,-0.465996037004311,3.45574178779457,-0.1348468912377,0.892732930544708,0.952248459247689,FALSE,"order"
"o__Bacteroidales",714.631217766501,-0.338620311053537,0.306513589621588,-1.10474811727463,0.269268747405503,0.783327265179644,FALSE,"order"
"o__Bifidobacteriales",16.2004757474516,-1.93969961973531,0.776416222857346,-2.49827291423263,0.0124800072759412,0.128517236483046,FALSE,"order"
"o__Burkholderiales",3.84794400138994,-1.08715113738095,0.849334002494676,-1.28000425531976,0.200543639338869,0.644596367178454,FALSE,"order"
