"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"p__Actinobacteria",38.3396185451741,-0.941636463946445,0.556587540378245,-1.69180298809156,0.0906835436862785,0.816151893176506,FALSE,"phylum"
"p__Bacteroidetes",687.428826933361,0.129668891705271,0.43557634508391,0.297694980842662,0.765935974553534,0.999999948936374,FALSE,"phylum"
"p__Candidatus_Melainabacteria",0.071537022791392,-0.517300465087885,3.62226741867038,-0.14281122990024,0.886439267817574,0.999999948936374,FALSE,"phylum"
"p__Euryarchaeota",0.965378428490125,1.52263007321394,1.43354327266568,1.06214447951935,0.288170100149198,0.999999948936374,FALSE,"phylum"
"p__Firmicutes",339.795943329717,2.25779548924181e-09,0.0352787353971733,6.39987648033073e-08,0.999999948936374,0.999999948936374,FALSE,"phylum"
"p__Fusobacteria",0.0222758583538559,-0.196908431617934,3.62231865253414,-0.0543597762941641,0.956648525311801,0.999999948936374,FALSE,"phylum"
"p__Lentisphaerae",0,NA,NA,NA,NA,NA,NA,"phylum"
"p__Proteobacteria",27.0736567083269,-0.483557921788428,0.624183955044019,-0.774704184368736,0.438514477888085,0.999999948936374,FALSE,"phylum"
"p__Synergistetes",0,NA,NA,NA,NA,NA,NA,"phylum"
"p__Verrucomicrobia",8.1948412967334,-0.109665171573126,1.38598129497198,-0.0791245682542516,0.936933542132173,0.999999948936374,FALSE,"phylum"
"p__Viruses_unclassified",6.07397089454627,0.346954063648815,0.629836650906,0.550863566211546,0.581727204838782,0.999999948936374,FALSE,"phylum"
"c__Actinobacteria",21.0170946837302,-2.2677720711124,1.08094097767726,-2.09796105240216,0.0359085860363215,0.215451516217929,FALSE,"class"
"c__Alphaproteobacteria",0.0384778885852522,-0.401534836420445,3.62228636896964,-0.110851212609858,0.911734333771453,0.999999953493092,FALSE,"class"
"c__Bacilli",12.7272955378428,-3.41515767966439,0.768099099715643,-4.44624616918404,8.73838084412953e-06,0.000157290855194331,TRUE,"class"
"c__Bacteroidia",698.954484443524,0.000333464590966013,0.454481733280078,0.000733724958667398,0.999414572236131,0.999999953493092,FALSE,"class"
"c__Betaproteobacteria",5.83886958318367,0.866884760681235,0.926618729268458,0.935535548008639,0.349512372442671,0.786402837996011,FALSE,"class"
"c__Candidatus_Melainabacteria_unclassified",0.0758970302361618,-0.593780048428314,3.62225817018204,-0.163925380392882,0.869789886697675,0.999999953493092,FALSE,"class"
"c__Clostridia",289.37937408682,1.8517434160697e-09,0.0317689900620196,5.82877646552414e-08,0.999999953493092,0.999999953493092,FALSE,"class"
"c__Coriobacteriia",22.0273887404172,-0.626944526605991,0.559708092534525,-1.12012767899603,0.262659357066184,0.675409775313045,FALSE,"class"
"c__Deltaproteobacteria",0.620300442661684,-0.598695634757086,0.911297307830399,-0.656970704963949,0.511199753252426,0.999999953493092,FALSE,"class"
"c__Epsilonproteobacteria",0,NA,NA,NA,NA,NA,NA,"class"
"c__Erysipelotrichia",1.91320282509416,-0.370704194951959,0.940361845756789,-0.394214415041076,0.693422743981608,0.999999953493092,FALSE,"class"
"c__Firmicutes_unclassified",17.597862722962,1.21485347052488,0.699591457748188,1.73651844525832,0.0824722058143286,0.296899940931583,FALSE,"class"
"c__Fusobacteriia",0.025071857051362,-0.27337952022967,3.6223072432936,-0.0754711022196721,0.939839889034051,0.999999953493092,FALSE,"class"
"c__Gammaproteobacteria",8.19712508021458,0.0115512894435076,1.40090975588539,0.00824556285298124,0.993421067254074,0.999999953493092,FALSE,"class"
"c__Lentisphaeria",0,NA,NA,NA,NA,NA,NA,"class"
"c__Methanobacteria",0.909534737945811,1.48006463651673,1.18343161856654,1.25065497093063,0.211060385583797,0.63318115675139,FALSE,"class"
"c__Negativicutes",23.3952801767174,-2.77652809730829,0.825867522341231,-3.36195336685136,0.000773931926479809,0.00696538733831828,TRUE,"class"
"c__Proteobacteria_unclassified",8.23562439332977,-2.91768223795935,1.53857484074024,-1.89635379488956,0.0579132773035156,0.26060974786582,FALSE,"class"
"c__Synergistia",0,NA,NA,NA,NA,NA,NA,"class"
"c__Verrucomicrobiae",7.64104165898766,-0.0518551747077071,1.41283744602411,-0.0367028598043135,0.970721928387002,0.999999953493092,FALSE,"class"
"c__Viruses_unclassified",6.27885200756537,0.180217190365572,0.621531574733073,0.289956613134208,0.771849430027733,0.999999953493092,FALSE,"class"
"o__Acidaminococcales",14.6153230649619,-2.28308807412576,0.88279469202765,-2.58620503129878,0.009703918805864,0.126150944476232,FALSE,"order"
"o__Actinomycetales",0.0242493653432364,-0.337456319091465,3.62229658755309,-0.0931608748579645,0.925775756507276,0.999999950474661,FALSE,"order"
"o__Aeromonadales",0,NA,NA,NA,NA,NA,NA,"order"
"o__Bacteroidales",698.954484443524,0.00036760070606716,0.458621540287559,0.000801533887476527,0.999360468554701,0.999999950474661,FALSE,"order"
"o__Bifidobacteriales",20.8406018806031,-2.2494636595828,1.11419196544791,-2.01891929697995,0.0434956082067894,0.282721453344131,FALSE,"order"
"o__Burkholderiales",5.83886958318367,0.868809194376866,0.934505940862032,0.929698952556081,0.35252697696382,0.999999950474661,FALSE,"order"
"o__Campylobacterales",0,NA,NA,NA,NA,NA,NA,"order"
"o__Candidatus_Gastranaerophilales",0.0758970302361618,-0.593780048428314,3.62225817018204,-0.163925380392882,0.869789886697675,0.999999950474661,FALSE,"order"
"o__Caudovirales",5.98453109057714,0.246163944086103,0.667662758091616,0.368695035184702,0.712355049795328,0.999999950474661,FALSE,"order"
"o__Clostridiales",289.37937408682,2.12011673854666e-09,0.0341564229429126,6.20708070657785e-08,0.999999950474661,0.999999950474661,FALSE,"order"
"o__Coriobacteriales",17.730826012726,-0.64056369186179,0.780284022512261,-0.820936573581737,0.41168239717157,0.999999950474661,FALSE,"order"
"o__Desulfovibrionales",0.620300442661684,-0.603473230334431,0.970345961636678,-0.621915537543492,0.533997407820068,0.999999950474661,FALSE,"order"
"o__Eggerthellales",4.29656272769124,-0.46885137024015,0.665311331124698,-0.704709732581233,0.480990893322156,0.999999950474661,FALSE,"order"
"o__Enterobacterales",8.10578524425168,0.0174728156066534,1.48404648285794,0.0117737657199286,0.990606111142647,0.999999950474661,FALSE,"order"
"o__Erysipelotrichales",1.91320282509416,-0.358299285768999,0.95996527074518,-0.37324192519055,0.708968395224423,0.999999950474661,FALSE,"order"
"o__Firmicutes_unclassified",17.597862722962,1.21483845657671,0.704515931566311,1.72435909841786,0.0846430365535197,0.366786491731919,FALSE,"order"
"o__Fusobacteriales",0.025071857051362,-0.27337952022967,3.6223072432936,-0.0754711022196721,0.939839889034051,0.999999950474661,FALSE,"order"
"o__Herpesvirales",0.0144199409052631,-0.27337952022967,3.6223072432936,-0.0754711022196721,0.939839889034051,0.999999950474661,FALSE,"order"
"o__Lactobacillales",12.7272955378428,-3.41573959694167,0.773519524808555,-4.4158414718582,1.00617805946744e-05,0.000261606295461535,TRUE,"order"
"o__Methanobacteriales",0.909534737945811,1.47915349704869,1.24188369616806,1.19105637799477,0.233631453124766,0.86777396874913,FALSE,"order"
"o__Micrococcales",0,NA,NA,NA,NA,NA,NA,"order"
"o__Ortervirales",0.259782832723205,-0.79432232535973,2.77251675368085,-0.286498656610523,0.774496222238519,0.999999950474661,FALSE,"order"
"o__Pasteurellales",0.0913398359629014,-0.225169001728086,3.62227657056457,-0.0621622886440696,0.950433593686398,0.999999950474661,FALSE,"order"
"o__Propionibacteriales",0.152243437783845,-0.921325920889148,3.62215797186556,-0.254358293604358,0.799218768431277,0.999999950474661,FALSE,"order"
"o__Proteobacteria_unclassified",8.23562439332977,-2.91769164430298,1.53765890260792,-1.89748951432238,0.0577633613996827,0.30036947927835,FALSE,"order"
"o__Rhodospirillales",0.0384778885852522,-0.401534836420445,3.62228636896964,-0.110851212609858,0.911734333771453,0.999999950474661,FALSE,"order"
"o__Selenomonadales",0,0,0,0,1,NA,NA,"order"
"o__Synergistales",0,NA,NA,NA,NA,NA,NA,"order"
"o__Veillonellales",5.39405638931324,-3.41963111636317,1.50566975880363,-2.27116942235749,0.0231367237160022,0.200518272205352,FALSE,"order"
"o__Verrucomicrobiales",7.64104165898766,-0.0518767679784487,1.41433588526141,-0.036679241839968,0.970740760115894,0.999999950474661,FALSE,"order"
"o__Victivallales",0,NA,NA,NA,NA,NA,NA,"order"
"o__Viruses_unclassified",0.0201181433597622,-0.27337952022967,3.6223072432936,-0.075471102219672,0.939839889034051,0.999999950474661,FALSE,"order"
"f__Acidaminococcaceae",21.7322089320154,-2.9771573035819,0.964107748897642,-3.08799229856411,0.00201513693168085,0.0171302987449249,TRUE,"family"
"f__Ackermannviridae",0.0602127585043664,0.923249319598378,3.61610844927436,0.255315716480695,0.798479262107915,NA,NA,"family"
"f__Actinomycetaceae",0.1085591066282,-0.547957016737955,3.62223186253308,-0.151276074402029,0.87975794192746,NA,NA,"family"
"f__Aeromonadaceae",0,NA,NA,NA,NA,NA,NA,"family"
"f__Akkermansiaceae",7.76463243191807,-0.408406393803223,1.45381846300286,-0.280919801334522,0.778771912693547,0.949176545844699,FALSE,"family"
"f__Alloherpesviridae",0.0118711050487763,-0.483869251895039,3.62223972948663,-0.133582890153882,0.893732414594573,NA,NA,"family"
"f__Atopobiaceae",0.132996788291228,-0.612046071420971,3.62222432347418,-0.168969676299324,0.865820493214157,0.954952495270369,FALSE,"family"
"f__Bacteroidaceae",485.921862758558,-1.28738472476742,0.459402701611206,-2.80230116247104,0.00507394832315829,0.0208595653285396,TRUE,"family"
"f__Baculoviridae",0.0261852244917354,-0.48386925189504,3.62223972948663,-0.133582890153882,0.893732414594573,NA,NA,"family"
"f__Barnesiellaceae",4.76902635199648,-1.77630244837003,1.08082929050334,-1.64346253749546,0.100287270242854,0.258541440564256,FALSE,"family"
"f__Bifidobacteriaceae",21.2346149481044,-1.89797838325485,1.18476489351152,-1.6019873593903,0.109158404769733,0.258541440564256,FALSE,"family"
"f__Campylobacteraceae",0,NA,NA,NA,NA,NA,NA,"family"
"f__Candidatus_Gastranaerophilales_unclassified",0.073038890920698,-0.805999136108473,3.62218905099001,-0.222517136671311,0.823911334505771,NA,NA,"family"
"f__Caudovirales_unclassified",0.336966478160131,-1.01241015600875,3.62205309523828,-0.279512787192356,0.779851326168569,0.949176545844699,FALSE,"family"
"f__Christensenellaceae",0.0297663972423479,-0.547957016737955,3.62223186253308,-0.151276074402029,0.87975794192746,NA,NA,"family"
"f__Clostridiaceae",14.4590416977016,-1.51252936461582,0.55484274323179,-2.72605054867583,0.00640971812700255,0.0215599609726449,TRUE,"family"
"f__Clostridiales_Family_XIII_Incertae_Sedis",0.0103347339959644,-0.483869251895039,3.62223972948663,-0.133582890153882,0.893732414594573,NA,NA,"family"
"f__Clostridiales_unclassified",6.34845081850944,-1.5114520636744,0.673648440903788,-2.24368078644491,0.0248529471970707,0.0766299205243015,FALSE,"family"
"f__Coriobacteriaceae",20.9655480640298,-2.87331634067966,0.845926685318798,-3.39664936754751,0.000682163156884223,0.00841334560157208,TRUE,"family"
"f__Desulfovibrionaceae",0.553142833491039,-0.770679160595932,0.909356945569396,-0.847499064422243,0.39671700832525,0.638196926436273,FALSE,"family"
"f__Eggerthellaceae",4.69591900184174,-0.704702333016663,0.704258571254441,-1.00063011197923,0.317005666630948,0.546553540331754,FALSE,"family"
"f__Enterobacteriaceae",3.54751045513121,1.92295441888582,1.38815679583638,1.38525736044624,0.165973786850134,0.323212111234472,FALSE,"family"
"f__Enterococcaceae",0.64294623220423,-1.13688594223725,3.02415037566455,-0.375935651674537,0.706964735136125,0.949176545844699,FALSE,"family"
"f__Erysipelotrichaceae",2.36802820278501,-0.685486343840397,1.00756571459264,-0.680339092440776,0.496289777139789,0.765113406423841,FALSE,"family"
"f__Eubacteriaceae",20.8337467150006,-1.52369257233248,0.52422327029189,-2.90657179618158,0.0036541303174088,0.0171302987449249,TRUE,"family"
"f__Firmicutes_unclassified",14.9082151838732,1.03373615728879,0.686639812439884,1.50549988299622,0.132195606915337,0.287719850345145,FALSE,"family"
"f__Fusobacteriaceae",0.0201787042707243,-0.483869251895039,3.62223972948663,-0.133582890153882,0.893732414594573,NA,NA,"family"
"f__Hafniaceae",0.0128775578749614,-0.483869251895039,3.62223972948663,-0.133582890153882,0.893732414594573,NA,NA,"family"
"f__Herpesviridae",0,NA,NA,NA,NA,NA,NA,"family"
"f__Lachnospiraceae",175.084416052057,-1.13282960471596,0.382217055531394,-2.96383844813254,0.00303827747398666,0.0171302987449249,TRUE,"family"
