"Microbe","MSE","RMSE","AIC","BIC","LogLik"
"s__Alistipes_finegoldii",7567996669.42559,86994.2335412273,302.297640189586,317.161661076455,-145.148820094793
"s__Alistipes_finegoldii",7567996784.44023,86994.2342022748,297.151581445899,312.015602332768,-142.575790722949
"s__Alistipes_finegoldii",7567997037.25491,86994.235655329,294.997031932161,309.86105281903,-141.49851596608
"s__Alistipes_finegoldii",0.753467507961084,0.868025061827759,324.916837486826,339.780858373696,-156.458418743413
"s__Alistipes_finegoldii",0.774617632020515,0.880123645870576,327.352997271124,342.217018157993,-157.676498635562
"s__Alistipes_finegoldii",0.775509247057026,0.880630028477922,327.454230444905,342.318251331774,-157.727115222452
"s__Alistipes_finegoldii",0.806381596739267,0.897987525937452,330.889501318112,345.753522204981,-159.444750659056
"s__Lachnospiraceae_bacterium_AM48_27BH",9166644.5265353,3027.64669777292,328.595912538356,343.459933425225,-158.297956269178
"s__Lachnospiraceae_bacterium_AM48_27BH",9166634.60549238,3027.64505936419,325.045233716489,339.909254603359,-156.522616858245
"s__Lachnospiraceae_bacterium_AM48_27BH",9166638.0878332,3027.6456344548,329.430878157919,344.294899044788,-158.71543907896
"s__Lachnospiraceae_bacterium_AM48_27BH",0.000273817554910765,0.0165474334841015,-372.041327538731,-357.177306651862,192.020663769366
"s__Lachnospiraceae_bacterium_AM48_27BH",0.00118681503006611,0.0344501818582444,-242.983473243402,-228.119452356533,127.491736621701
"s__Lachnospiraceae_bacterium_AM48_27BH",0.00118681503739963,0.034450181964681,-242.983472699636,-228.119451812767,127.491736349818
"s__Lachnospiraceae_bacterium_AM48_27BH",0.00118393326270138,0.0344083312978323,-243.197410466321,-228.333389579452,127.59870523316
"s__Intestinimonas_massiliensis",58239378.4838806,7631.47289085669,331.179375853462,346.043396740331,-159.589687926731
"s__Intestinimonas_massiliensis",58239366.1110094,7631.472080209,328.2390259432,343.10304683007,-158.1195129716
"s__Intestinimonas_massiliensis",58239379.7202958,7631.47297186433,334.882143915206,349.746164802076,-161.441071957603
"s__Intestinimonas_massiliensis",0.00804148248906824,0.0896743134295894,-74.6095372570185,-59.7455163701493,43.3047686285093
"s__Intestinimonas_massiliensis",0.00762644019172452,0.0873294921073318,-79.2728572915176,-64.4088364046484,45.6364286457588
"s__Intestinimonas_massiliensis",0.0080414825149128,0.0896743135736918,-74.6095369741948,-59.7455160873256,43.3047684870974
"s__Intestinimonas_massiliensis",0.00662320012482189,0.0813830456841097,-91.6845996299365,-76.8205787430673,51.8422998149683
"f__Barnesiellaceae",5927031417.43694,76987.2159350949,322.58143298411,337.445453870979,-155.290716492055
"f__Barnesiellaceae",5927030775.62637,76987.2117668017,317.193988984985,332.058009871855,-152.596994492493
"f__Barnesiellaceae",5927031177.66754,76987.2143778922,305.901146912898,320.765167799767,-146.950573456449
"f__Barnesiellaceae",0.3700546690874,0.608321189083037,262.345744582692,277.209765469562,-125.172872291346
"f__Barnesiellaceae",0.412528322758946,0.642283677792723,271.907306758794,286.771327645663,-129.953653379397
"f__Barnesiellaceae",0.412528322876253,0.642283677884043,271.907306783818,286.771327670687,-129.953653391909
"f__Barnesiellaceae",0.385232908893002,0.620671337257491,265.883112308809,280.747133195678,-126.941556154405
"s__Phascolarctobacterium_faecium",1266263963.64809,35584.6029013685,305.361819628003,320.225840514872,-146.680909814002
"s__Phascolarctobacterium_faecium",1266264137.43301,35584.6053432241,306.922461483448,321.786482370317,-147.461230741724
"s__Phascolarctobacterium_faecium",1266263689.60026,35584.5990507166,307.086477800534,321.950498687404,-147.543238900267
"s__Phascolarctobacterium_faecium",0.0297740783777964,0.172551668719246,40.5846369145125,55.4486578013818,-14.2923184572563
"s__Phascolarctobacterium_faecium",0.243814302114223,0.493775558441508,225.628283989208,240.492304876078,-106.814141994604
"s__Phascolarctobacterium_faecium",0.243815286235442,0.493776554967368,225.628639187783,240.492660074652,-106.814319593891
"s__Phascolarctobacterium_faecium",0.0463229947380582,0.215227774086102,79.4806652979328,94.3446861848021,-33.7403326489664
"g__Dialister",362496121.778736,19039.3309173074,323.072185673693,337.936206560562,-155.536092836847
"g__Dialister",362496134.75962,19039.3312582039,319.553058812957,334.417079699826,-153.776529406479
"g__Dialister",362496255.261628,19039.3344227583,324.066120624405,338.930141511274,-156.033060312203
"g__Dialister",0.0460916530141081,0.21468966676137,79.0400833181778,93.904104205047,-33.5200416590889
"g__Dialister",0.0411012824475284,0.202734512226035,68.9559391918722,83.8199600787414,-28.4779695959361
"g__Dialister",0.046091652375945,0.214689665275124,79.0400820997714,93.9041029866407,-33.5200410498857
"g__Dialister",0.0416349485273668,0.204046437183713,70.0911919290387,84.9552128159079,-29.0455959645193
"s__Bifidobacterium_longum",3542955716.20448,59522.7327682834,228.225074615947,243.089095502816,-108.112537307973
"s__Bifidobacterium_longum",3542945762.84194,59522.6491584669,438.971283473692,453.835304360562,-213.485641736846
"s__Bifidobacterium_longum",3542942230.55735,59522.6194866905,484.378139594793,499.242160481663,-236.189069797397
"s__Bifidobacterium_longum",0.539215263922418,0.734312783439331,295.474587023446,310.338607910315,-141.737293511723
"s__Bifidobacterium_longum",0.636747007847287,0.797964289832125,310.105251167226,324.969272054095,-149.052625583613
"s__Bifidobacterium_longum",0.636746914953949,0.797964231625672,310.105238329138,324.969259216007,-149.052619164569
"s__Bifidobacterium_longum",0.618208519261897,0.786262373042165,307.505149980854,322.369170867724,-147.752574990427
