"effect","group","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj","pres"
"fixed",NA,"ResponseResponder:Days",0.00240111606733649,0.00917125653834789,44,0.261808843455275,0.794690581323,"k__Bacteria","GMM",1,88
"fixed",NA,"ResponseResponder:Days",-0.00439749302019958,0.0751910768151483,44,-0.0584842405038364,0.953627724560136,"p__Bacteroidota","GMM",1,88
"fixed",NA,"ResponseResponder:Days",0.0240589565483342,0.0669575344697394,44,0.359316643584111,0.721076937314994,"p__Firmicutes","GMM",1,88
"fixed",NA,"ResponseResponder:Days",-0.0139710208252987,0.0178737397856808,44,-0.781650678191661,0.438605864043463,"p__Actinobacteria","GMM",1,87
"fixed",NA,"ResponseResponder:Days",-0.01213386899345,0.0108809834997875,44,-1.11514450818595,0.270842333880369,"p__Proteobacteria","GMM",1,85
"fixed",NA,"ResponseResponder:Days",-0.0091115241644594,0.075879771391326,44,-0.12007843457342,0.904967649089951,"c__Bacteroidia","GMM",1,88
"fixed",NA,"ResponseResponder:Days",0.0254300916436076,0.060536120361478,44,0.420081291826392,0.676470446890237,"c__Clostridia","GMM",1,88
"fixed",NA,"ResponseResponder:Days",0.00128746116290272,0.00627929816286271,44,0.205032653253683,0.83849219321037,"c__Negativicutes","GMM",1,85
"fixed",NA,"ResponseResponder:Days",-0.0143333535875381,0.0172819864620102,44,-0.829381137350507,0.411365818807273,"c__Actinomycetia","ZIGMM",1,63
"fixed",NA,"ResponseResponder:Days",-0.0063179662306075,0.012132880785823,44,-0.520730924677831,0.605165021590975,"c__CFGB629","ZIGMM",1,6
"fixed",NA,"ResponseResponder:Days",0.000479752018426604,0.0023556980241842,44,0.203655992194817,0.839561323605747,"c__Betaproteobacteria","ZIGMM",1,74
"fixed",NA,"ResponseResponder:Days",-0.00601534494484396,0.00405314138740637,44,-1.48411919789781,0.144906250032139,"c__Coriobacteriia","GMM",1,86
"fixed",NA,"ResponseResponder:Days",0.000126216856603516,0.001238788526945,44,0.101887330935153,0.919309019304588,"c__Deltaproteobacteria","ZIGMM",1,71
"fixed",NA,"ResponseResponder:Days",-0.00128093644214643,0.00701582645297132,44,-0.182578125432953,0.855967696605631,"c__Bacilli","ZIGMM",1,76
"fixed",NA,"ResponseResponder:Days",-0.00923101972296292,0.00411530769264812,44,-2.24309344826242,0.0299761366106722,"c__Firmicutes_unclassified","ZIGMM",1,72
"fixed",NA,"ResponseResponder:Days",-0.000874690808950824,0.000716853736950979,44,-1.22018030159287,0.228896073453731,"c__CFGB79266","ZIGMM",1,10
"fixed",NA,"ResponseResponder:Days",1.31613562200895e-05,9.18032053462226e-05,44,0.143364887646932,0.886656580627913,"c__CFGB28775","ZIGMM",1,7
"fixed",NA,"ResponseResponder:Days",-0.000373588453033435,0.00626877496598209,44,-0.0595951290420755,0.952747954706798,"c__Gammaproteobacteria","ZIGMM",1,46
"fixed",NA,"ResponseResponder:Days",-0.0091115241644594,0.075879771391326,44,-0.12007843457342,0.904967649089951,"o__Bacteroidales","GMM",1,88
"fixed",NA,"ResponseResponder:Days",0.0235092672739028,0.0602863321362013,44,0.389960152506704,0.698447387105576,"o__Eubacteriales","GMM",1,88
"fixed",NA,"ResponseResponder:Days",-0.020081926210514,0.0181482155862394,44,-1.10655100580471,0.274501396650761,"o__Bifidobacteriales","ZIGMM",1,53
"fixed",NA,"ResponseResponder:Days",-0.0063179662306075,0.012132880785823,44,-0.520730924677831,0.605165021590975,"o__OFGB629","ZIGMM",1,6
"fixed",NA,"ResponseResponder:Days",0.00481640141342283,0.00368348776120822,44,1.30756547209024,0.197812038591337,"o__Acidaminococcales","ZIGMM",1,66
"fixed",NA,"ResponseResponder:Days",-0.00217820205397432,0.00303564189276972,44,-0.71754249378438,0.476831844884202,"o__Veillonellales","ZIGMM",1,46
"fixed",NA,"ResponseResponder:Days",0.000479752018426604,0.0023556980241842,44,0.203655992194817,0.839561323605747,"o__Burkholderiales","ZIGMM",1,74
"fixed",NA,"ResponseResponder:Days",-0.00391261879092761,0.00299465153635375,44,-1.3065355829986,0.1981588089721,"o__Coriobacteriales","ZIGMM",1,69
"fixed",NA,"ResponseResponder:Days",0.000126216856603516,0.001238788526945,44,0.101887330935153,0.919309019304588,"o__Desulfovibrionales","ZIGMM",1,71
"fixed",NA,"ResponseResponder:Days",-0.00128093644214643,0.00701582645297132,44,-0.182578125432953,0.855967696605631,"o__Lactobacillales","ZIGMM",1,76
"fixed",NA,"ResponseResponder:Days",-0.00923101972296292,0.00411530769264812,44,-2.24309344826242,0.0299761366106722,"o__Firmicutes_unclassified","ZIGMM",1,72
