"effect","group","term","estimate","std.error","statistic","p.value","padj"
"fixed",NA,"p__Bacteroidota_tertmed:Days",0.0332853808851058,0.00270202672007868,12.3186719945303,7.18680193702682e-35,8.41574506825841e-32
"fixed",NA,"p__Bacteroidota_terthigh:Days",0.0491289375633597,0.00272304013005702,18.0419440099588,9.12757905151069e-73,1.0688395069319e-69
"fixed",NA,"p__Firmicutes_tertmed:Days",0.286169918472714,0.00250136882263082,114.405327148731,0,0
"fixed",NA,"p__Firmicutes_terthigh:Days",0.0666986028737164,0.00242680120417506,27.4841642401398,2.71492035190386e-166,3.17917173207942e-163
"fixed",NA,"p__Actinobacteria_tertmed:Days",0.0280242456259679,0.083425435952594,0.335919678524574,0.7369314371659,1
"fixed",NA,"p__Actinobacteria_terthigh:Days",0.0294144606294639,0.0936074027945421,0.314232205480857,0.753344684145138,1
"fixed",NA,"p__Proteobacteria_tertmed:Days",0.000768470265391842,0.00945591673014705,0.0812687217244447,0.935228248135412,1
"fixed",NA,"p__Proteobacteria_terthigh:Days",0.195922167895045,0.00997329337653813,19.6446810996201,6.41986823752506e-86,7.51766570614185e-83
"fixed",NA,"c__Bacteroidia_tertmed:Days",0.0129803520105069,0.0784694239269557,0.165419234154055,0.868614015555686,1
"fixed",NA,"c__Bacteroidia_terthigh:Days",-0.0148747905708102,0.0817913672564767,-0.18186259833714,0.855690557164385,1
"fixed",NA,"c__Clostridia_tertmed:Days",0.0121882253086875,0.0741969824055869,0.164268477147256,0.869519796158874,1
"fixed",NA,"c__Clostridia_terthigh:Days",0.00656096344082529,0.074073170423883,0.088574086991015,0.92942040270775,1
"fixed",NA,"c__Negativicutes_tertmed:Days",-0.00313310502773512,0.0902178030985371,-0.0347282345626739,0.972296446576776,1
"fixed",NA,"c__Negativicutes_terthigh:Days",0.0199754971452628,0.0845782584232656,0.236177683457336,0.813294795748709,1
"fixed",NA,"c__Actinomycetia_tertmed:Days",0.0036555317423976,0.0963372741060791,0.0379451440402228,0.969731419208845,1
"fixed",NA,"c__Actinomycetia_terthigh:Days",0.526610102533689,0.218864871324981,2.40609696451357,0.0161239844312787,1
"fixed",NA,"c__Betaproteobacteria_tertmed:Days",-0.00201607205016766,0.0747707850089145,-0.0269633661051879,0.978488953013692,1
"fixed",NA,"c__Betaproteobacteria_terthigh:Days",0.025129221828072,0.10414019589029,0.241301849043431,0.809321177898613,1
"fixed",NA,"c__Coriobacteriia_tertmed:Days",0.00746841351240421,0.071152403362594,0.104963615555543,0.916404679771388,1
"fixed",NA,"c__Coriobacteriia_terthigh:Days",0.0022345979628687,0.077607119054894,0.0287937239531865,0.977029106366072,1
"fixed",NA,"c__Deltaproteobacteria_tertmed:Days",0.0061589538212466,0.0744163112558167,0.0827634925369293,0.934039598234055,1
"fixed",NA,"c__Deltaproteobacteria_terthigh:Days",0.0193972785432218,0.0951362501612886,0.203889458648378,0.838439882834265,1
"fixed",NA,"c__Bacilli_tertmed:Days",0.0132688531084077,0.0747113638496608,0.17760153776751,0.859035916780738,1
"fixed",NA,"c__Bacilli_terthigh:Days",0.00354792551562594,0.071586114201013,0.0495616441152735,0.960471712609216,1
"fixed",NA,"c__Firmicutes_unclassified_tertmed:Days",-0.0120446584453629,0.0933810819689116,-0.128983924703002,0.897370368795584,1
"fixed",NA,"c__Firmicutes_unclassified_terthigh:Days",-0.0347063845790947,0.0931137663048405,-0.372730971545831,0.709348682921528,1
"fixed",NA,"c__CFGB79266_tertlow:Days",-0.00207769672076362,0.0838987257516988,-0.0247643417959962,0.980242933454509,1
"fixed",NA,"c__CFGB28775_tertlow:Days",-0.00953448040836459,0.173021390602646,-0.0551057899555387,0.956054183438349,1
"fixed",NA,"c__Gammaproteobacteria_tertmed:Days",-0.0239996985356486,0.100149691968387,-0.239638266118925,0.810610696896604,1
"fixed",NA,"c__Gammaproteobacteria_terthigh:Days",-0.0193522676897172,0.0918700459564898,-0.210648285719619,0.833161731037957,1
"fixed",NA,"o__Bacteroidales_tertmed:Days",0.0129803520105069,0.0784694239269557,0.165419234154055,0.868614015555686,1
"fixed",NA,"o__Bacteroidales_terthigh:Days",-0.0148747905708102,0.0817913672564767,-0.18186259833714,0.855690557164385,1
"fixed",NA,"o__Eubacteriales_tertmed:Days",0.0132925613384954,0.0738458775881771,0.180004108186313,0.857149343014459,1
"fixed",NA,"o__Eubacteriales_terthigh:Days",0.00590890018885437,0.0745128999696222,0.0793003653228278,0.93679371573276,1
"fixed",NA,"o__Bifidobacteriales_tertmed:Days",-0.000705205318946225,0.0823948131929733,-0.00855885572911725,0.993171104529698,1
"fixed",NA,"o__Bifidobacteriales_terthigh:Days",0.0339406915130742,0.0868277479361996,0.390896831022423,0.695873496465389,1
"fixed",NA,"o__Acidaminococcales_tertmed:Days",-0.00818435097171315,0.0804106226389714,-0.1017819624213,0.918929743189695,1
"fixed",NA,"o__Acidaminococcales_terthigh:Days",0.00320723531285352,0.112236879611749,0.028575592300392,0.977203078655954,1
"fixed",NA,"o__Veillonellales_tertmed:Days",0.00832038985713868,0.00233063586282717,3.57000850705422,0.000356969634890826,0.418011442457157
"fixed",NA,"o__Veillonellales_terthigh:Days",-0.00309856962550984,0.0022708886003443,-1.36447451673325,0.172418269225154,1
