"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","microbe","padj"
"fixed","ResponseResponder:Days",-2742.88210925963,7787.55282239907,-0.352213612133759,6519.54986036523,0.724689453577244,-18009.0393460448,12523.2751275255,"k__Bacteria",1
"fixed","ResponseResponder:Days",1798.37468167194,7481.81415332553,0.240366125757426,1632.98603315557,0.81007660682584,-12876.5885013172,16473.3378646611,"p__Bacteroidota",1
"fixed","ResponseResponder:Days",-151.770386428971,5698.7840491298,-0.0266320648616517,2092.00732594947,0.978755738356177,-11327.6477990947,11024.1070262367,"p__Firmicutes",1
"fixed","ResponseResponder:Days",-722.778540901615,1068.47311839718,-0.676459265522615,566.720328831762,0.49902508340437,-2821.42936694463,1375.8722851414,"p__Actinobacteria",0.979993656794633
"fixed","ResponseResponder:Days",-740.907209986328,787.628605067162,-0.940680931621511,44.3341742256592,0.351965877508065,-2327.93048885866,846.116068886008,"p__Proteobacteria",0.950244374591491
"fixed","ResponseResponder:Days",1494.91259811738,7449.94868611079,0.200660791248724,1416.43698895317,0.840992627678725,-13119.2062935112,16109.0314897459,"c__Bacteroidia",1
"fixed","ResponseResponder:Days",-387.107428850951,4985.82975437777,-0.0776415256680304,2232.8577673921,0.938120165839189,-10164.4541353962,9390.23927769432,"c__Clostridia",1
"fixed","ResponseResponder:Days",62.8863669568254,229.692789004832,0.273784680961414,51.7232764480747,0.785340486629591,-398.084637007515,523.857370921166,"c__Negativicutes",1
"fixed","ResponseResponder:Days",-496.13989264269,931.948712294376,-0.532368236682507,604.324791488598,0.594666653208984,-2326.39137332946,1334.11158804408,"c__Actinomycetia",1
"fixed","ResponseResponder:Days",-50.7958415254534,207.243421888995,-0.245102310425375,62.5316170485222,0.807179804863326,-464.999491236613,363.407808185706,"c__CFGB629",1
"fixed","ResponseResponder:Days",14.8134734706309,122.276942592499,0.121146907638985,48.8423017798482,0.904071708265461,-230.931312045423,260.558258986685,"c__Betaproteobacteria",1
"fixed","ResponseResponder:Days",-347.561459017761,251.49868638153,-1.38196132957331,79.5229717717353,0.170853355223926,-848.105889362604,152.982971327083,"c__Coriobacteriia",0.925168444163132
"fixed","ResponseResponder:Days",5.1530528579116,100.924312509963,0.0510585876659094,59.9357978074984,0.95944862049183,-196.730077523507,207.03618323933,"c__Deltaproteobacteria",1
"fixed","ResponseResponder:Days",-75.841772104523,406.189627394171,-0.186715186675423,58.5090684535181,0.852529866350056,-888.768056774147,737.084512565101,"c__Bacilli",1
"fixed","ResponseResponder:Days",-519.718691700591,307.786776432672,-1.68856731833727,82.8106501731117,0.0950648886660742,-1131.91491255348,92.477529152294,"c__Firmicutes_unclassified",0.820741864709234
"fixed","ResponseResponder:Days",-57.7573827961943,47.2402784358567,-1.22263002481278,82.4628117160552,0.224952360838426,-151.725449426219,36.2106838338301,"c__CFGB79266",0.925168444163132
"fixed","ResponseResponder:Days",-0.0590357030567976,3.97305796115351,-0.0148590087620211,83.999999998753,0.988179898214095,-7.95989717206319,7.84182576594959,"c__CFGB28775",1
"fixed","ResponseResponder:Days",-318.168284151961,625.414136939787,-0.508732158995941,44.1318588257233,0.613474009276945,-1578.5012970285,942.16472872458,"c__Gammaproteobacteria",1
"fixed","ResponseResponder:Days",1494.91259811738,7449.94868611079,0.200660791248724,1416.43698895317,0.840992627678725,-13119.2062935112,16109.0314897459,"o__Bacteroidales",1
"fixed","ResponseResponder:Days",-443.752422282024,4977.32109649921,-0.0891548714014324,2265.8088799953,0.928966709244296,-10204.3364362478,9316.83159168378,"o__Eubacteriales",1
"fixed","ResponseResponder:Days",-499.589839602322,929.226482529964,-0.537640552647736,608.751576416752,0.591021709319922,-2324.46851102053,1325.28883181588,"o__Bifidobacteriales",1
"fixed","ResponseResponder:Days",-50.7958415254534,207.243421888995,-0.245102310425375,62.5316170485222,0.807179804863326,-464.999491236613,363.407808185706,"o__OFGB629",1
"fixed","ResponseResponder:Days",165.264865472051,153.502927675872,1.07662354050351,55.8160035520699,0.286279985438422,-142.260820574087,472.790551518189,"o__Acidaminococcales",0.925168444163132
"fixed","ResponseResponder:Days",-66.4208450708619,110.377096761737,-0.601762929262762,56.4374493830837,0.549741791585725,-287.494925764108,154.653235622384,"o__Veillonellales",1
"fixed","ResponseResponder:Days",14.8134734706309,122.276942592499,0.121146907638985,48.8423017798482,0.904071708265461,-230.931312045423,260.558258986685,"o__Burkholderiales",1
"fixed","ResponseResponder:Days",-201.097009079651,170.044388759695,-1.18261478985843,76.3154207414838,0.240633257972748,-539.74712508725,137.553106927947,"o__Coriobacteriales",0.925168444163132
"fixed","ResponseResponder:Days",5.1530528579116,100.924312509963,0.0510585876659094,59.9357978074984,0.95944862049183,-196.730077523507,207.03618323933,"o__Desulfovibrionales",1
"fixed","ResponseResponder:Days",-75.841772104523,406.189627394171,-0.186715186675423,58.5090684535181,0.852529866350056,-888.768056774147,737.084512565101,"o__Lactobacillales",1
"fixed","ResponseResponder:Days",-519.718691700591,307.786776432672,-1.68856731833727,82.8106501731117,0.0950648886660742,-1131.91491255348,92.477529152294,"o__Firmicutes_unclassified",0.820741864709234
"fixed","ResponseResponder:Days",16.7909032402704,17.2687718851012,0.972327583686298,65.4566464438575,0.334467104873163,-17.6926551179234,51.2744615984642,"o__Clostridia_unclassified",0.946207897233516
"fixed","ResponseResponder:Days",-57.7573827961943,47.2402784358567,-1.22263002481278,82.4628117160552,0.224952360838426,-151.725449426219,36.2106838338301,"o__OFGB79266",0.925168444163132
"fixed","ResponseResponder:Days",-169.599982424233,165.605055707551,-1.02412321713014,75.2171555239998,0.309059540624585,-499.486559989583,160.286595141117,"o__Eggerthellales",0.925168444163132
"fixed","ResponseResponder:Days",-0.0590357030567976,3.97305796115351,-0.0148590087620211,83.999999998753,0.988179898214095,-7.95989717206319,7.84182576594959,"o__OFGB28775",1
"fixed","ResponseResponder:Days",-309.182247282395,625.562310084324,-0.494246923604968,44.1314860679494,0.62358314475327,-1569.81415813407,951.449663569284,"o__Enterobacterales",1
"fixed","ResponseResponder:Days",5427.58476431112,6141.88563724124,0.883700069470691,2396.2141758197,0.376946794704592,-6616.37341811728,17471.5429467395,"f__Bacteroidaceae",0.950244374591491
"fixed","ResponseResponder:Days",-1752.41374055425,3600.81521355662,-0.486671388733482,1223.57510839456,0.626578383931572,-8816.86993937632,5312.04245826782,"f__Lachnospiraceae",1
"fixed","ResponseResponder:Days",-499.589839602322,929.226482529964,-0.537640552647736,608.751576416752,0.591021709319922,-2324.46851102053,1325.28883181588,"f__Bifidobacteriaceae",1
"fixed","ResponseResponder:Days",-50.7958415254534,207.243421888995,-0.245102310425375,62.5316170485222,0.807179804863326,-464.999491236613,363.407808185706,"f__FGB629",1
"fixed","ResponseResponder:Days",165.264865472051,153.502927675872,1.07662354050351,55.8160035520699,0.286279985438422,-142.260820574087,472.790551518189,"f__Acidaminococcaceae",0.925168444163132
"fixed","ResponseResponder:Days",2109.8995673892,2202.53847369001,0.9579399373008,736.936051762342,0.338407205476443,-2214.09816959628,6433.89730437468,"f__Rikenellaceae",0.950001433659376
"fixed","ResponseResponder:Days",-66.4208450708619,110.377096761737,-0.601762929262762,56.4374493830837,0.549741791585725,-287.494925764108,154.653235622384,"f__Veillonellaceae",1
"fixed","ResponseResponder:Days",569.027617970934,450.901921214382,1.26197647692077,66.1424524192412,0.211389253890837,-331.190925711018,1469.24616165289,"f__Clostridiaceae",0.925168444163132
"fixed","ResponseResponder:Days",983.51252011838,875.202630383743,1.12375407245651,1208.41098665559,0.26134055942792,-733.572946517138,2700.5979867539,"f__Tannerellaceae",0.925168444163132
"fixed","ResponseResponder:Days",42.1248612837772,127.67418932279,0.329940307490622,49.3924297165516,0.74284037090304,-214.394475503769,298.644198071323,"f__Sutterellaceae",1
"fixed","ResponseResponder:Days",1479.94476872359,1928.9719097058,0.767219450566962,5094.20582863676,0.442986605945998,-2301.66919551886,5261.55873296603,"f__Oscillospiraceae",0.950244374591491
"fixed","ResponseResponder:Days",-201.55469020869,170.045569523759,-1.18529809846371,76.3104367875069,0.239577626775271,-540.207513942263,137.098133524882,"f__Coriobacteriaceae",0.925168444163132
"fixed","ResponseResponder:Days",5.1530528579116,100.924312509963,0.0510585876659094,59.9357978074984,0.95944862049183,-196.730077523507,207.03618323933,"f__Desulfovibrionaceae",1
"fixed","ResponseResponder:Days",272.107975361695,322.127142018838,0.844722284674114,44.364518238204,0.402798401489537,-376.945995560633,921.161946284024,"f__Odoribacteraceae",0.950244374591491
"fixed","ResponseResponder:Days",38.2553550416963,246.909548645436,0.154936717723425,49.988718365941,0.877495113272075,-457.679841890785,534.190551974178,"f__Streptococcaceae",1
"fixed","ResponseResponder:Days",-519.718691700591,307.786776432672,-1.68856731833727,82.8106501731117,0.0950648886660742,-1131.91491255348,92.477529152294,"f__Firmicutes_unclassified",0.820741864709234
"fixed","ResponseResponder:Days",25.0307148562155,563.728054813869,0.0444021095676712,56.4469592067123,0.964740585935344,-1104.05498744244,1154.11641715487,"f__Eubacteriales_unclassified",1
"fixed","ResponseResponder:Days",-167.597671661857,116.903995895004,-1.43363509843053,83.162362569373,0.155425608337605,-400.108304302159,64.912960978445,"f__Lactobacillaceae",0.91499342501407
"fixed","ResponseResponder:Days",16.7909032402704,17.2687718851012,0.972327583686298,65.4566464438575,0.334467104873163,-17.6926551179234,51.2744615984642,"f__Clostridia_unclassified",0.946207897233516
"fixed","ResponseResponder:Days",-57.7573827961943,47.2402784358567,-1.22263002481278,82.4628117160552,0.224952360838426,-151.725449426219,36.2106838338301,"f__FGB79266",0.925168444163132
"fixed","ResponseResponder:Days",-169.599982424233,165.605055707551,-1.02412321713014,75.2171555239998,0.309059540624585,-499.486559989583,160.286595141117,"f__Eggerthellaceae",0.925168444163132
"fixed","ResponseResponder:Days",-0.0590357030567976,3.97305796115351,-0.0148590087620211,83.999999998753,0.988179898214095,-7.95989717206319,7.84182576594959,"f__FGB28775",1
