"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"(Intercept)",10.7208992067092,4.87178023857098,2.2006122365351,0.0277634865865128
"fixed",NA,"p__Bacteroidota",0.00543115791069532,0.0855575461367119,0.063479589538682,0.949384611648158
"fixed",NA,"Days",0.0641508994231105,0.200504276098364,0.319947787006993,0.749007911520427
"fixed",NA,"Days2",-0.000525303045716212,0.000974769927152708,-0.538899519859641,0.589956188548875
"fixed",NA,"p__Bacteroidota:Days",-0.000687761661247306,0.00348615060598745,-0.197283978513744,0.843605316258011
"fixed",NA,"p__Bacteroidota:Days2",6.23837949463852e-06,2.10842121376606e-05,0.29587918457221,0.767322348024243
"ran_pars","Patient_Id","sd__(Intercept)",46.3277233511862,NA,NA,NA
"fixed",NA,"(Intercept)",11.1831111650369,5.49351923143572,2.03569163843888,0.0417813292520541
"fixed",NA,"p__Firmicutes",-0.00511779721444677,0.0985856759055748,-0.0519121785942675,0.95859867024643
"fixed",NA,"Days",-0.00986865111483692,0.449772767158106,-0.0219414153889132,0.982494688014832
"fixed",NA,"Days2",0.000273805400951146,0.00163874943081932,0.167081919787,0.867305591954913
"fixed",NA,"p__Firmicutes:Days",0.000958808770477284,0.00576381593341566,0.166349651264642,0.86788179426371
"fixed",NA,"p__Firmicutes:Days2",-1.15043328365055e-05,1.7031588683447e-05,-0.675470330474019,0.499376995267608
"ran_pars","Patient_Id","sd__(Intercept)",46.232775890989,NA,NA,NA
"fixed",NA,"(Intercept)",10.9242325096227,13.6373206411782,0.801054165774816,0.42310028890649
"fixed",NA,"p__Actinobacteria",0.00788258545451917,4.10526111016737,0.00192011792745573,0.998467968492158
"fixed",NA,"Days",0.0458849447720646,0.417387351053946,0.109933721412976,0.912461938794007
"fixed",NA,"Days2",-0.000436514871648762,0.00373826188878352,-0.116769473256677,0.907042735037375
"fixed",NA,"p__Actinobacteria:Days",-0.0111285770743747,0.253726833500846,-0.0438604656859738,0.965015628767338
"fixed",NA,"p__Actinobacteria:Days2",0.000170344820702135,0.00338400013388561,0.0503383019983926,0.959852801863673
"ran_pars","Patient_Id","sd__(Intercept)",45.8268844039773,NA,NA,NA
"fixed",NA,"(Intercept)",11.1298970412325,2.75369783865647,4.04180040561851,5.30423728238796e-05
"fixed",NA,"p__Proteobacteria",-0.0434750936113418,0.343612309058133,-0.12652367934813,0.899317406253573
"fixed",NA,"Days",-0.00932901635958673,0.135477444947822,-0.0688602915649888,0.945100826198244
"fixed",NA,"Days2",0.00021360508244851,0.00106982905128377,0.199662817337208,0.841744295642333
"fixed",NA,"p__Proteobacteria:Days",0.0166258459271422,0.0339015020182696,0.490416203924608,0.623839412678694
"fixed",NA,"p__Proteobacteria:Days2",-0.000181836257055883,0.000252945302064648,-0.718875802680095,0.472217446741405
"ran_pars","Patient_Id","sd__(Intercept)",46.0397276713311,NA,NA,NA
"fixed",NA,"(Intercept)",9.38888983535936,0.00178797991583313,5251.11593940054,0
"fixed",NA,"c__Bacteroidia",0.0153024145845569,0.00180781171852224,8.46460636789409,2.57019260328888e-17
"fixed",NA,"Days",0.227862300114572,0.00202557768772731,112.492501025835,0
"fixed",NA,"Days2",-0.00280535775100032,0.000561764787758315,-4.99382982367925,5.91935605671155e-07
"fixed",NA,"c__Bacteroidia:Days",-0.00450873343898391,0.00135547926396141,-3.32630203859192,0.000880065081239082
"fixed",NA,"c__Bacteroidia:Days2",5.82616237394907e-05,1.38133972922247e-05,4.21776211216953,2.46738925096994e-05
"ran_pars","Patient_Id","sd__(Intercept)",34.5902104185104,NA,NA,NA
"fixed",NA,"(Intercept)",11.3789205966011,4.61908715440414,2.46345656971457,0.0137604565082813
"fixed",NA,"c__Clostridia",-0.0125266944180335,0.10252704644989,-0.122179413645314,0.902756929827462
"fixed",NA,"Days",-0.0625663068437307,0.174630410981552,-0.358278414922474,0.720134969805349
"fixed",NA,"Days2",0.000590212243071455,0.000861503950967691,0.68509522493599,0.493283833260068
"fixed",NA,"c__Clostridia:Days",0.00258614998859282,0.00384167268683612,0.673183323882467,0.500830669043624
"fixed",NA,"c__Clostridia:Days2",-2.22679321978912e-05,1.80979418503987e-05,-1.23041240722081,0.218542709541534
"ran_pars","Patient_Id","sd__(Intercept)",45.8987823901193,NA,NA,NA
"fixed",NA,"(Intercept)",10.9242510654172,15.2200652985803,0.717753232401454,0.472909454367258
"fixed",NA,"c__Negativicutes",-0.0416732972809369,5.51593271595024,-0.00755507716046491,0.993971977923816
"fixed",NA,"Days",0.091025580019987,0.673661820422866,0.135120586116709,0.89251653407241
"fixed",NA,"Days2",-0.000873853846322909,0.00735549955201121,-0.118802786968286,0.905431600642958
"fixed",NA,"c__Negativicutes:Days",-0.048896420384499,0.416233684328279,-0.117473482386243,0.90648485651831
"fixed",NA,"c__Negativicutes:Days2",0.000541037015906318,0.00582104065786704,0.0929450673351877,0.925947202126951
"ran_pars","Patient_Id","sd__(Intercept)",44.9492031513929,NA,NA,NA
"fixed",NA,"(Intercept)",11.5446589684854,0.00178985038166267,6450.06928331131,0
"fixed",NA,"c__Actinomycetia",-1.11230414774572,0.00178993172853195,-621.422666582929,0
"fixed",NA,"Days",0.0855246708542323,0.00179099018548781,47.7527300524754,0
"fixed",NA,"Days2",-0.000881533659840188,0.000526616218901709,-1.6739584315855,0.0941387691657988
"fixed",NA,"c__Actinomycetia:Days",-0.170880836736181,0.00179397688795303,-95.2525296639469,0
"fixed",NA,"c__Actinomycetia:Days2",0.00198176164324311,0.000708347773934763,2.79772410695206,0.00514640511512286
"ran_pars","Patient_Id","sd__(Intercept)",47.4136964739719,NA,NA,NA
"fixed",NA,"(Intercept)",10.7803214961113,15.3296286102717,0.703234355520386,0.481909712324943
"fixed",NA,"c__Betaproteobacteria",0.132356085790457,10.7322967315454,0.0123325033868495,0.990160335372364
"fixed",NA,"Days",0.0330600960333854,0.564646898163252,0.0585500356788057,0.953310508113352
"fixed",NA,"Days2",-0.00034593173414922,0.00508585281336584,-0.0680184320789027,0.945770961586519
"fixed",NA,"c__Betaproteobacteria:Days",0.00069261484423392,0.490690641012442,0.00141151019877788,0.998873778178953
"fixed",NA,"c__Betaproteobacteria:Days2",0.000101225356622495,0.00480737030086945,0.02105628447307,0.983200757092216
"ran_pars","Patient_Id","sd__(Intercept)",45.7464996259781,NA,NA,NA
"fixed",NA,"(Intercept)",10.2842053933526,16.117030985808,0.638095527793451,0.523411497601458
"fixed",NA,"c__Coriobacteriia",1.18704270739046,33.5054015025249,0.0354283982330732,0.971738140405815
"fixed",NA,"Days",0.0565335224728032,0.657853347761304,0.0859363605356553,0.93151700688535
"fixed",NA,"Days2",-0.000481322184387448,0.00608602793287516,-0.0790864238048381,0.936963881922434
"fixed",NA,"c__Coriobacteriia:Days",-0.0561007071260398,1.60112149708274,-0.0350383823015654,0.972049135001074
"fixed",NA,"c__Coriobacteriia:Days2",0.000603136852978064,0.0178801325249433,0.033732236164171,0.973090672851348
"ran_pars","Patient_Id","sd__(Intercept)",44.9607024964812,NA,NA,NA
"fixed",NA,"(Intercept)",10.7082569611425,16.6171938423047,0.644408259466829,0.519310730029695
"fixed",NA,"c__Deltaproteobacteria",0.754799622685786,35.7114098004633,0.021136091431372,0.983137094520422
"fixed",NA,"Days",0.0449710309536091,0.488639574077267,0.0920331330890075,0.926671714895216
"fixed",NA,"Days2",-0.00036732482691949,0.00368493563197435,-0.0996828340045335,0.920596129134625
"fixed",NA,"c__Deltaproteobacteria:Days",-0.0618066404305875,1.40514748849741,-0.0439858740356718,0.964915663856302
"fixed",NA,"c__Deltaproteobacteria:Days2",0.000722382848523102,0.0183513595363267,0.0393639962801195,0.968600184454955
"ran_pars","Patient_Id","sd__(Intercept)",46.0042968126248,NA,NA,NA
"fixed",NA,"(Intercept)",11.1694899779368,0.00197943120953376,5642.77754343767,0
"fixed",NA,"c__Bacilli",0.329386162451498,0.00197972415922597,166.379826662459,0
"fixed",NA,"Days",0.0904523638038793,0.00197594428360275,45.7767785025582,0
"fixed",NA,"Days2",-0.000837676663412407,0.000335591118178009,-2.49612286511133,0.012555910333965
"fixed",NA,"c__Bacilli:Days",-0.0311015464054425,0.00200012769140953,-15.5497804160317,1.59652253428405e-54
"fixed",NA,"c__Bacilli:Days2",0.000390454217621476,0.000325409874831776,1.19988435453388,0.23018425703357
"ran_pars","Patient_Id","sd__(Intercept)",60.6970846873438,NA,NA,NA
"fixed",NA,"(Intercept)",10.507804382289,14.4173912307783,0.728828413829606,0.466106628460165
"fixed",NA,"c__Firmicutes_unclassified",0.690993814701411,21.9496769226615,0.0314808193822666,0.974886088478769
"fixed",NA,"Days",0.0277709308064214,0.593895679693973,0.0467606210247756,0.962704014550604
"fixed",NA,"Days2",-6.085835773849e-05,0.00555733616753675,-0.0109509944879698,0.99126254521179
"fixed",NA,"c__Firmicutes_unclassified:Days",0.0143087857697485,0.948837277236123,0.0150803368639022,0.987968088088984
"fixed",NA,"c__Firmicutes_unclassified:Days2",-0.000435270299106712,0.00942007249814241,-0.0462066825061638,0.963145516295842
"ran_pars","Patient_Id","sd__(Intercept)",45.030723854389,NA,NA,NA
"fixed",NA,"(Intercept)",10.5304170288442,0.00193927040745173,5430.09215650415,0
"fixed",NA,"c__CFGB79266",96.7081579933158,0.00193912514716855,49872.0560323432,0
"fixed",NA,"Days",0.0444465011701714,0.00194095499516137,22.89929507947,4.72193051765904e-116
"fixed",NA,"Days2",-0.000387193249229384,0.000328962393074015,-1.1770137176205,0.239190031116078
"fixed",NA,"c__CFGB79266:Days",-4.16108163889863,0.00193913345978734,-2145.84592818844,0
"fixed",NA,"c__CFGB79266:Days2",0.0470584909241664,0.00193930557490822,24.2656399966227,4.52164560137733e-130
"ran_pars","Patient_Id","sd__(Intercept)",41.7235455918543,NA,NA,NA
"fixed",NA,"(Intercept)",11.2592748752897,11.9559548792171,0.941729455240884,0.346331170562806
"fixed",NA,"c__Gammaproteobacteria",-1.17964805051498,3.4969013451503,-0.337340958203176,0.735859887126668
"fixed",NA,"Days",0.00596615903622954,0.5258242588652,0.011346298569612,0.990947157791005
"fixed",NA,"Days2",1.61192371874989e-05,0.00541519012212651,0.00297667059216177,0.99762496399928
"fixed",NA,"c__Gammaproteobacteria:Days",0.0812589211756926,1.4121564047477,0.0575424371567472,0.954113102127796
"fixed",NA,"c__Gammaproteobacteria:Days2",-0.000825206396263685,0.0196153829364609,-0.0420693492926819,0.966443414251045
"ran_pars","Patient_Id","sd__(Intercept)",42.6981533872214,NA,NA,NA
"fixed",NA,"(Intercept)",9.38888983535936,0.00178797991583313,5251.11593940054,0
"fixed",NA,"o__Bacteroidales",0.0153024145845569,0.00180781171852224,8.46460636789409,2.57019260328888e-17
"fixed",NA,"Days",0.227862300114572,0.00202557768772731,112.492501025835,0
"fixed",NA,"Days2",-0.00280535775100032,0.000561764787758315,-4.99382982367925,5.91935605671155e-07
"fixed",NA,"o__Bacteroidales:Days",-0.00450873343898391,0.00135547926396141,-3.32630203859192,0.000880065081239082
"fixed",NA,"o__Bacteroidales:Days2",5.82616237394907e-05,1.38133972922247e-05,4.21776211216953,2.46738925096994e-05
"ran_pars","Patient_Id","sd__(Intercept)",34.5902104185104,NA,NA,NA
"fixed",NA,"(Intercept)",11.372440302238,19.1323982044627,0.59440746427624,0.552239617264987
"fixed",NA,"o__Eubacteriales",-0.012294200300976,0.105689112659812,-0.116324188855177,0.907395615808071
"fixed",NA,"Days",-0.0599373908856947,0.208011485479179,-0.28814462214729,0.773236036847293
"fixed",NA,"Days2",0.000574745833264931,0.00122460702033602,0.469330833255576,0.638833179334241
"fixed",NA,"o__Eubacteriales:Days",0.00252442389191165,0.00398389444618644,0.633657323508694,0.526304481899447
"fixed",NA,"o__Eubacteriales:Days2",-2.19063948377521e-05,0.000195659184138144,-0.111962006456519,0.910853531560016
"ran_pars","Patient_Id","sd__(Intercept)",45.9274784908495,NA,NA,NA
"fixed",NA,"(Intercept)",10.9490858434411,12.8599723127232,0.851408197248487,0.394542639775502
