"effect","group","term","estimate","std.error","statistic","p.value","padj"
"fixed",NA,"p__Bacteroidota",0.00304446350169856,0.0882904324716014,0.0344823716055283,0.97249249940943,1
"fixed",NA,"p__Bacteroidota:Days",-0.00022031049638696,0.00302557949212312,-0.0728159669777387,0.941952564875514,1
"fixed",NA,"p__Firmicutes",-0.000326810299425089,0.0975618877266904,-0.00334977425140249,0.997327271841074,1
"fixed",NA,"p__Firmicutes:Days",5.21093157326217e-05,0.00305142239809981,0.0170770574945872,0.986375141711255,1
"fixed",NA,"p__Actinobacteria",-0.00567270613826462,0.272775291710665,-0.020796260917509,0.98340818045082,1
"fixed",NA,"p__Actinobacteria:Days",0.00180219594058878,0.0190654676815052,0.0945267103170532,0.92469076567119,1
"fixed",NA,"p__Proteobacteria",-0.0361040951840709,0.357964645195989,-0.10085938840218,0.919662082014911,1
"fixed",NA,"p__Proteobacteria:Days",0.000923122940945816,0.0165331766007002,0.0558345781479597,0.955473588520052,1
"fixed",NA,"c__Bacteroidia",0.000314097150609888,0.0883646699549934,0.00355455580572945,0.997163880774429,1
"fixed",NA,"c__Bacteroidia:Days",-0.000105369715974878,0.00273127251430329,-0.0385789830282668,0.969226058930187,1
"fixed",NA,"c__Clostridia",-0.00415646237510267,0.108071548184348,-0.0384602834412309,0.969320697261564,1
"fixed",NA,"c__Clostridia:Days",0.000401458356139545,0.00359981412127736,0.111521968250153,0.91120244611333,1
"fixed",NA,"c__Negativicutes",-0.0973287411125382,0.550770299989963,-0.176713851698815,0.859733160030614,1
"fixed",NA,"c__Negativicutes:Days",-0.00512472035007857,0.0295947597663509,-0.173163100175098,0.86252322722856,1
"fixed",NA,"c__Actinomycetia",-0.0260563724535632,0.263260050785549,-0.0989757936147656,0.921157489612985,1
"fixed",NA,"c__Actinomycetia:Days",0.00112821715740407,0.0173915890840779,0.0648714244540745,0.948276372637406,1
"fixed",NA,"c__Betaproteobacteria",0.044537323034304,1.89375397713066,0.0235180089769555,0.981237073371351,1
"fixed",NA,"c__Betaproteobacteria:Days",0.0114754259606045,0.0466808596847697,0.245827219937607,0.805815985040061,1
"fixed",NA,"c__Coriobacteriia",0.810734037856235,3.17909072774413,0.255020729915289,0.798707088305554,1
"fixed",NA,"c__Coriobacteriia:Days",-0.0015649315579186,0.0854070121652814,-0.0183232209890461,0.985381002904627,1
"fixed",NA,"c__Deltaproteobacteria",0.242315576008181,4.06880407233532,0.0595544960387099,0.952510460900995,1
"fixed",NA,"c__Deltaproteobacteria:Days",0.00651275243559027,0.109853702562638,0.059285688908635,0.952724559661132,1
