"term","estimate","std.error","statistic","p.value"
"k__Archaea",-0.0411960745179133,0.595394144356463,-0.0691912658335605,0.94483737530225
"k__Archaea.p__Euryarchaeota",-0.0411960745179133,0.595394144356463,-0.0691912658335605,0.94483737530225
"k__Archaea.p__Euryarchaeota.c__Methanobacteria",1.04557372009738,1.21211486385593,0.862602836806448,0.388355870119686
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales",1.04557372009738,1.21211486385593,0.862602836806448,0.388355870119686
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae",1.04557372009738,1.21211486385593,0.862602836806448,0.388355870119686
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter",1.0290663728527,1.25322728175892,0.821133076043793,0.411570471554671
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_smithii",1.0290663728527,1.25322728175892,0.821133076043793,0.411570471554671
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera",182.703971159393,16145.9681006281,0.0113157644076037,0.990971518963504
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera.s__Methanosphaera_stadtmanae",182.703971159393,16145.9681006281,0.0113157644076037,0.990971518963504
"k__Archaea.p__Euryarchaeota.c__Thermoplasmata",-0.620319190793492,1.21135461121151,-0.512087199778019,0.608589982583752
"k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales",-0.620319190793492,1.21135461121151,-0.512087199778019,0.608589982583752
"k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae",-0.620319190793492,1.21135461121151,-0.512087199778019,0.608589982583752
"k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus",-0.620319190793492,1.21135461121151,-0.512087199778019,0.608589982583752
"k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis",-0.620319190793492,1.21135461121151,-0.512087199778019,0.608589982583752
"k__Bacteria",0.0666107353715006,0.342854861791265,0.194282604083515,0.845954606046901
"k__Bacteria.p__Actinobacteria",0.056869683540091,0.0527665497218728,1.07776013098915,0.2811408160794
"k__Bacteria.p__Actinobacteria.c__Actinobacteria",0.053648194137237,0.0554642884338841,0.96725651138909,0.333415818068659
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales",952.692928866888,93527.919108666,0.0101861875891839,0.991872738734686
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae",952.692928866888,93527.919108666,0.0101861875891839,0.991872738734686
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",952.692928866888,93527.919108666,0.0101861875891839,0.991872738734686
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_graevenitzii",934.672869489521,82599.180741429,0.0113157644071005,0.990971518963906
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_odontolyticus",984.395454889866,86993.2794136615,0.0113157644076041,0.990971518963504
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris",1213.62829479067,107251.110139428,0.0113157644075939,0.990971518963512
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HMSC035G02",315.738802920003,27902.56067083,0.0113157644076045,0.990971518963503
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_ICM47",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_oral_taxon_181",23868.0231308723,2109271.83273618,0.0113157644076204,0.990971518963491
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_viscosus",963.09567019344,85110.9686895248,0.0113157644076018,0.990971518963506
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales",0.0535290206492915,0.0554798456698786,0.964837230582885,0.334626344898103
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae",0.0535290206492915,0.0554798456698786,0.964837230582885,0.334626344898103
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia",-1863.02247886026,183762.318615635,-0.0101382181771282,0.991911010811716
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia.s__Alloscardovia_omnicolens",-1863.02247886026,183762.318615635,-0.0101382181771282,0.991911010811716
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium",0.0535354796759051,0.0554818684481947,0.96491847108381,0.334585648975059
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis",0.385623649685014,0.389264755312493,0.990646197535771,0.321858371166929
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_animalis",1042.33771901298,92113.7699154299,0.0113157644071017,0.990971518963905
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_bifidum",3.34889881726333,2.25400360525847,1.48575575010196,0.137343738415917
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_catenulatum",-8.11494323313485,9.51343107060151,-0.852998584097773,0.393660089394593
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium",-10.6856104179837,19.2691866223327,-0.554543926913822,0.579206651884002
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_kashiwanohense",73.0775239860133,120.802964993734,0.604931542779634,0.545224483667554
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum",0.204005663014592,0.189532394242665,1.07636303456071,0.281764927690344
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum",2.36165561799351,6.20132015580022,0.38083110670953,0.703328575674304
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudolongum",-0.872044313536675,86.0155402360745,-0.0101382181771259,0.991911010811718
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum",-237.436811955806,25084.5291355408,-0.00946546816457461,0.992447761864789
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa",7624.5073890317,673795.168792283,0.0113157644075987,0.990971518963508
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa",324.895165916505,28711.7294257365,0.011315764407604,0.990971518963504
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia",0.275658566082712,0.18548242381809,1.48617082097796,0.137233943469331
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales",0.298754742516487,0.201370735588839,1.48360555789242,0.137913594060753
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.s__Olsenella_scatoligenes",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.298754742516487,0.201370735588839,1.48360555789242,0.137913594060753
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",0.297841158850068,0.201104148085201,1.48102941528527,0.138598735199162
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens",0.301427929495044,0.213180461447003,1.41395664241012,0.157374633267273
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",1.98517296899587,1.61695875800013,1.22772022426296,0.21955201171058
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",-2.43519297945775,5.13475564781313,-0.47425683839403,0.635316766135708
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma",551.908041561898,48773.3768270604,0.0113157644080877,0.990971518963118
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Collinsella_massiliensis",551.908041561898,48773.3768270604,0.0113157644080877,0.990971518963118
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Enorma_massiliensis",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales",0.956421978121884,0.844313729040827,1.13278032231978,0.257306516939137
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae",0.956421978121884,0.844313729040827,1.13278032231978,0.257306516939137
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia",1.31752267037286,3.80770398859128,0.34601499337145,0.729331446856893
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens",1.31752267037286,3.80770398859128,0.34601499337145,0.729331446856893
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter",-0.191446047392397,3.05943550851396,-0.062575611370016,0.950104450654444
