name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
p__Actinobacteria,34.4516908,1.171264553,0.521059343,2.247852514,0.024585596,0.091197504,FALSE,phylum
p__Bacteroidetes,672.4661794,0.137654269,0.40081867,0.343432777,0.731272905,0.999999777,FALSE,phylum
p__Candidatus_Melainabacteria,0.058909486,0.251719203,3.882135966,0.064840388,0.948301084,0.999999777,FALSE,phylum
p__Euryarchaeota,1.065179057,-0.732488964,1.627240094,-0.45014191,0.652608119,0.999999777,FALSE,phylum
p__Firmicutes,337.7089783,1.12E-08,0.040058484,2.80E-07,0.999999777,0.999999777,FALSE,phylum
p__Fusobacteria,0.018343779,-0.001271511,3.882160859,-0.000327527,0.999738671,0.999999777,FALSE,phylum
p__Lentisphaerae,0,NA,NA,NA,NA,NA,NA,phylum
p__Proteobacteria,26.16780093,0.245402163,0.591068271,0.415184125,0.678007119,0.999999777,FALSE,phylum
p__Synergistetes,0.022792507,-0.72771893,3.880995328,-0.187508324,0.851262098,0.999999777,FALSE,phylum
p__Verrucomicrobia,6.887614108,3.235101562,1.466266135,2.206353597,0.027359251,0.091197504,FALSE,phylum
p__Viruses_unclassified,8.041849364,-1.568729898,0.684651354,-2.29128284,0.02194706,0.091197504,FALSE,phylum
c__Actinobacteria,18.44010266,2.078786476,1.080863525,1.923264527,0.054446837,0.155562392,FALSE,class
c__Alphaproteobacteria,0.082629594,-0.845288569,3.87920355,-0.217902608,0.827504995,0.99999984,FALSE,class
c__Bacilli,12.44249939,0.313018358,0.783091271,0.399721424,0.689361711,0.99999984,FALSE,class
c__Bacteroidia,684.5525583,0.276246446,0.417515548,0.661643495,0.508199726,0.846999543,FALSE,class
c__Betaproteobacteria,4.941823165,3.775595236,1.07044285,3.527133874,0.000420084,0.004200843,TRUE,class
c__Candidatus_Melainabacteria_unclassified,0.0634934,0.385280824,3.882131548,0.09924466,0.920944017,0.99999984,FALSE,class
c__Clostridia,292.1739003,5.95E-09,0.029690336,2.00E-07,0.99999984,0.99999984,FALSE,class
c__Coriobacteriia,20.24683104,1.030213643,0.517057531,1.992454574,0.046321205,0.154404015,FALSE,class
c__Deltaproteobacteria,0.952337356,-2.055333405,0.871787551,-2.357608115,0.018393098,0.100928015,FALSE,class
c__Epsilonproteobacteria,0,NA,NA,NA,NA,NA,NA,class
c__Erysipelotrichia,1.707681428,1.500937491,0.945499489,1.587454576,0.112409727,0.246557071,FALSE,class
c__Firmicutes_unclassified,15.20124299,2.62958587,0.729453366,3.604871802,0.000312307,0.004200843,TRUE,class
c__Fusobacteriia,0.020974436,0.132286571,3.882155638,0.034075546,0.972816909,0.99999984,FALSE,class
c__Gammaproteobacteria,20.88205625,-2.092392667,1.357676356,-1.541157182,0.123278536,0.246557071,FALSE,class
c__Lentisphaeria,0,NA,NA,NA,NA,NA,NA,class
c__Methanobacteria,0.942067803,-0.225303152,1.309972399,-0.171990763,0.863444791,0.99999984,FALSE,class
c__Negativicutes,16.12131348,1.299499859,0.736530929,1.764352055,0.077672725,0.194181812,FALSE,class
c__Proteobacteria_unclassified,7.234188628,2.032418031,1.602326895,1.268416599,0.204649217,0.372089485,FALSE,class
c__Synergistia,0.02022898,-0.582076129,3.880750599,-0.149990605,0.880772028,0.99999984,FALSE,class
c__Thermoplasmata,0.057753042,-1.223049449,3.87808932,-0.315374234,0.752477528,0.99999984,FALSE,class
c__Verrucomicrobiae,6.515698049,3.320852559,1.429627292,2.32287994,0.020185603,0.100928015,FALSE,class
c__Viruses_unclassified,7.979856306,-1.352586983,0.663273139,-2.039260906,0.041423995,0.154404015,FALSE,class
o__Acidaminococcales,12.75816816,2.233479156,0.841258381,2.654926484,0.007932569,0.057511128,FALSE,order
o__Actinomycetales,0.020286362,0.182883981,3.882150493,0.047108936,0.962426405,0.999999838,FALSE,order
o__Aeromonadales,0.022201664,-0.158752607,3.882160958,-0.040892845,0.967381321,0.999999838,FALSE,order
o__Bacteroidales,684.5525583,0.276251843,0.418638555,0.659881513,0.509329869,0.999999838,FALSE,order
o__Bifidobacteriales,18.29245356,2.066769061,1.108216314,1.864950944,0.062188281,0.225432518,FALSE,order
o__Burkholderiales,4.941823165,3.775922218,1.07358232,3.517124069,0.00043625,0.004217082,TRUE,order
o__Campylobacterales,0,NA,NA,NA,NA,NA,NA,order
o__Candidatus_Gastranaerophilales,0.0634934,0.385280824,3.882131548,0.09924466,0.920944017,0.999999838,FALSE,order
o__Caudovirales,7.693275212,-1.408887095,0.712492201,-1.977407041,0.047995639,0.198839075,FALSE,order
o__Clostridiales,292.1739003,6.14E-09,0.030151662,2.04E-07,0.999999838,0.999999838,FALSE,order
o__Coriobacteriales,16.59498246,0.769451173,0.70272118,1.094959417,0.273534416,0.661041506,FALSE,order
o__Desulfovibrionales,0.952337356,-2.051919541,0.885325227,-2.317701424,0.020465554,0.098916842,FALSE,order
o__Eggerthellales,3.651848578,3.617374981,0.829609885,4.360332546,1.30E-05,0.000376608,TRUE,order
o__Enterobacterales,20.74016012,-2.092826814,1.417724401,-1.476187341,0.139893607,0.40569146,FALSE,order
o__Erysipelotrichales,1.707681428,1.501615592,0.951590888,1.578005434,0.114564361,0.369151831,FALSE,order
o__Firmicutes_unclassified,15.20124299,2.629738376,0.731071241,3.597102756,0.000321781,0.004217082,TRUE,order
o__Fusobacteriales,0.020974436,0.132286571,3.882155638,0.034075546,0.972816909,0.999999838,FALSE,order
o__Herpesvirales,0.012063332,0.132286571,3.882155638,0.034075546,0.972816909,0.999999838,FALSE,order
o__Lactobacillales,12.44249939,0.312940613,0.784817586,0.39874312,0.690082492,0.999999838,FALSE,order
o__Methanobacteriales,0.942067803,-0.223768431,1.327005635,-0.168626587,0.866090367,0.999999838,FALSE,order
o__Methanomassiliicoccales,0.057753042,-1.223049449,3.87808932,-0.315374234,0.752477528,0.999999838,FALSE,order
o__Micrococcales,0,NA,NA,NA,NA,NA,NA,order
o__Ortervirales,0.244962125,0.095566948,2.442659143,0.039124144,0.968791412,0.999999838,FALSE,order
o__Pasteurellales,0.119694465,-0.169189552,3.267466005,-0.05178005,0.958703952,0.999999838,FALSE,order
o__Propionibacteriales,0.127362736,0.638291477,3.882111177,0.164418649,0.869401583,0.999999838,FALSE,order
o__Proteobacteria_unclassified,7.234188628,2.032467877,1.604753364,1.26652975,0.205323485,0.54130737,FALSE,order
o__Rhodospirillales,0.082629594,-0.845288569,3.87920355,-0.217902608,0.827504995,0.999999838,FALSE,order
o__Selenomonadales,0,0,0,0,1,NA,NA,order
o__Synergistales,0.02022898,-0.582076129,3.880750599,-0.149990605,0.880772028,0.999999838,FALSE,order
o__Veillonellales,5.218217698,0.375222121,1.385813425,0.270759479,0.786576027,0.999999838,FALSE,order
o__Verrucomicrobiales,6.515698049,3.32122401,1.432641793,2.318251516,0.020435656,0.098916842,FALSE,order
o__Victivallales,0,NA,NA,NA,NA,NA,NA,order
o__Viruses_unclassified,0.016830294,0.132286571,3.882155638,0.034075546,0.972816909,0.999999838,FALSE,order
f__Acidaminococcaceae,14.86292754,2.565499277,0.900277031,2.849677585,0.004376357,0.024069962,TRUE,family
f__Ackermannviridae,0.051648557,0.604135785,3.882091691,0.155621205,0.87633161,NA,NA,family
f__Actinomycetaceae,0.093118491,0.400459364,3.882114092,0.10315497,0.917839978,NA,NA,family
f__Aeromonadaceae,0.019449858,0.051615886,3.881899576,0.013296554,0.989391198,NA,NA,family
f__Akkermansiaceae,6.768870992,3.564571485,1.459981002,2.441519089,0.014625615,0.046335166,TRUE,family
f__Alloherpesviridae,0.01018265,0.349856485,3.882117996,0.090120003,0.928191854,NA,NA,family
f__Atopobiaceae,0.114080345,0.451062815,3.882110317,0.116190108,0.907501877,NA,NA,family
f__Bacteroidaceae,529.3991393,1.239348556,0.482099708,2.570730773,0.010148419,0.041862227,TRUE,family
f__Baculoviridae,0.022460839,0.349856485,3.882117996,0.090120003,0.928191854,NA,NA,family
f__Barnesiellaceae,5.129482414,-0.261511087,0.995566551,-0.262675646,0.79280059,0.902152395,FALSE,family
f__Bifidobacteriaceae,18.95293424,2.329000863,1.162875419,2.002794818,0.045199316,0.099438496,FALSE,family
f__Campylobacteraceae,0,NA,NA,NA,NA,NA,NA,family
f__Candidatus_Gastranaerophilales_unclassified,0.062650399,0.604135785,3.882091691,0.155621205,0.87633161,NA,NA,family
f__Caudovirales_unclassified,0.289038949,0.759706371,3.882059434,0.195696739,0.844847537,NA,NA,family
f__Christensenellaceae,0.025532653,0.400459364,3.882114092,0.10315497,0.917839978,NA,NA,family
f__Clostridiaceae,13.40946311,1.294386985,0.55310734,2.340209378,0.019272932,0.053000562,FALSE,family
f__Clostridiales_Family_XIII_Incertae_Sedis,0.008864801,0.349856485,3.882117996,0.090120003,0.928191854,NA,NA,family
f__Clostridiales_unclassified,5.597873781,2.874314869,0.727601189,3.950398808,7.80E-05,0.000930604,TRUE,family
f__Coriobacteriaceae,22.01953626,1.360387977,0.787253078,1.728018619,0.083984886,0.153972292,FALSE,family
f__Desulfovibrionaceae,0.859955194,-1.856302405,0.878572143,-2.112862808,0.034612512,0.08786253,FALSE,family
f__Eggerthellaceae,4.077528264,3.803057813,0.863715605,4.403136625,1.07E-05,0.0003521,TRUE,family
f__Enterobacteriaceae,11.87098281,-0.160093843,1.432971121,-0.111721612,0.911044143,0.91753587,FALSE,family
f__Enterococcaceae,0.551498489,2.329988642,3.248259328,0.717303764,0.473186685,0.600583101,FALSE,family
f__Erysipelotrichaceae,2.12532951,1.860552641,1.001303698,1.858130199,0.063150527,0.122586318,FALSE,family
