"mouse","group","date","days","weight"
"C4M1","vehicle","2022-08-02",0,18.8
"C4M1","vehicle","2022-08-06",4,18.8
"C4M1","vehicle","2022-08-09",7,19.3
"C4M1","vehicle","2022-08-12",10,18.2
"C4M1","vehicle","2022-08-16",14,19.2
"C4M1","vehicle","2022-08-19",17,19.8
"C4M1","vehicle","2022-08-23",21,19.7
"C4M1","vehicle","2022-08-25",23,19.5
"C4M1","vehicle","2022-08-26",24,19.7
"C4M1","vehicle","2022-08-28",26,20
"C4M1","vehicle","2022-08-30",28,20.3
"C4M1","vehicle","2022-09-01",30,20.3
"C4M1","vehicle","2022-09-02",31,20
"C4M1","vehicle","2022-09-04",33,20.5
"C4M1","vehicle","2022-09-06",35,20.6
"C4M1","vehicle","2022-09-09",38,20.5
"C4M1","vehicle","2022-09-11",40,21
"C4M1","vehicle","2022-09-12",41,20.7
"C4M1","vehicle","2022-09-13",42,21
"C4M2","vehicle","2022-08-02",0,17.5
"C4M2","vehicle","2022-08-06",4,18
"C4M2","vehicle","2022-08-09",7,18.1
"C4M2","vehicle","2022-08-12",10,17.1
"C4M2","vehicle","2022-08-16",14,18.4
"C4M2","vehicle","2022-08-19",17,18.8
"C4M2","vehicle","2022-08-23",21,19.1
"C4M2","vehicle","2022-08-25",23,19
"C4M2","vehicle","2022-08-26",24,19.5
"C4M2","vehicle","2022-08-28",26,20
"C4M2","vehicle","2022-08-30",28,20
"C4M2","vehicle","2022-09-01",30,19.7
"C4M2","vehicle","2022-09-02",31,19.5
"C4M2","vehicle","2022-09-04",33,19.8
"C4M2","vehicle","2022-09-06",35,19.7
"C4M2","vehicle","2022-09-09",38,20.1
"C4M2","vehicle","2022-09-11",40,19.6
"C4M2","vehicle","2022-09-12",41,20.3
"C4M2","vehicle","2022-09-13",42,20.3
"C4M3","vehicle","2022-08-02",0,15.6
"C4M3","vehicle","2022-08-06",4,15
"C4M3","vehicle","2022-08-09",7,15.3
"C4M3","vehicle","2022-08-12",10,15.7
"C4M3","vehicle","2022-08-16",14,16.3
"C4M3","vehicle","2022-08-19",17,16.4
"C4M3","vehicle","2022-08-23",21,17.3
"C4M3","vehicle","2022-08-25",23,16.9
"C4M3","vehicle","2022-08-26",24,16.9
"C4M3","vehicle","2022-08-28",26,16.9
"C4M3","vehicle","2022-08-30",28,16.9
"C4M3","vehicle","2022-09-01",30,17.3
"C4M3","vehicle","2022-09-02",31,17.1
"C4M3","vehicle","2022-09-04",33,17.1
"C4M3","vehicle","2022-09-06",35,17.7
"C4M3","vehicle","2022-09-09",38,17.6
"C4M3","vehicle","2022-09-11",40,17.7
"C4M3","vehicle","2022-09-12",41,18.2
"C4M3","vehicle","2022-09-13",42,18.2
"C4M4","vehicle","2022-08-02",0,17.6
"C4M4","vehicle","2022-08-06",4,17.8
"C4M4","vehicle","2022-08-09",7,18.2
"C4M4","vehicle","2022-08-12",10,17.9
"C4M4","vehicle","2022-08-16",14,19.9
"C4M4","vehicle","2022-08-19",17,20.3
"C4M4","vehicle","2022-08-23",21,20.6
"C4M4","vehicle","2022-08-25",23,21
"C4M4","vehicle","2022-08-26",24,20.7
"C4M4","vehicle","2022-08-28",26,20.4
"C4M4","vehicle","2022-08-30",28,20.7
"C4M4","vehicle","2022-09-01",30,21
"C4M4","vehicle","2022-09-02",31,20.8
"C4M4","vehicle","2022-09-04",33,17.8
"C4M4","vehicle","2022-09-06",35,19.9
"C4M4","vehicle","2022-09-09",38,NA
"C4M4","vehicle","2022-09-11",40,NA
"C4M4","vehicle","2022-09-12",41,NA
"C4M4","vehicle","2022-09-13",42,NA
"C5M3","vehicle","2022-08-02",0,16.5
"C5M3","vehicle","2022-08-06",4,16.2
"C5M3","vehicle","2022-08-09",7,16.6
"C5M3","vehicle","2022-08-12",10,16.3
"C5M3","vehicle","2022-08-16",14,16.6
"C5M3","vehicle","2022-08-19",17,17.5
"C5M3","vehicle","2022-08-23",21,17.5
"C5M3","vehicle","2022-08-25",23,17.1
"C5M3","vehicle","2022-08-26",24,16.8
"C5M3","vehicle","2022-08-28",26,17.1
"C5M3","vehicle","2022-08-30",28,17.5
"C5M3","vehicle","2022-09-01",30,17.5
