"species","core_3of3","core_2of3","group"
"s__Phocaeicola_vulgatus",0.846153846153846,0.846153846153846,"all pts w/ 3 samples"
"s__Blautia_wexlerae",0.846153846153846,1,"all pts w/ 3 samples"
"s__Parabacteroides_merdae",0.846153846153846,1,"all pts w/ 3 samples"
"s__Alistipes_onderdonkii",0.769230769230769,0.923076923076923,"all pts w/ 3 samples"
"s__Bacteroides_uniformis",0.769230769230769,0.923076923076923,"all pts w/ 3 samples"
"s__Blautia_faecis",0.769230769230769,0.923076923076923,"all pts w/ 3 samples"
"s__Ruthenibacterium_lactatiformans",0.769230769230769,1,"all pts w/ 3 samples"
"s__Fusicatenibacter_saccharivorans",0.769230769230769,0.923076923076923,"all pts w/ 3 samples"
"s__Faecalibacterium_prausnitzii",0.769230769230769,0.846153846153846,"all pts w/ 3 samples"
"s__Oscillibacter_valericigenes",0.769230769230769,0.923076923076923,"all pts w/ 3 samples"
"s__Eubacterium_rectale",0.692307692307692,0.769230769230769,"all pts w/ 3 samples"
"s__Collinsella_aerofaciens",0.692307692307692,0.769230769230769,"all pts w/ 3 samples"
"s__Anaerostipes_hadrus",0.692307692307692,0.923076923076923,"all pts w/ 3 samples"
"s__Oscillospiraceae_bacterium_CLA_AA_H250",0.692307692307692,0.769230769230769,"all pts w/ 3 samples"
"s__Blautia_massiliensis",0.615384615384615,0.846153846153846,"all pts w/ 3 samples"
"s__Coprococcus_comes",0.615384615384615,0.692307692307692,"all pts w/ 3 samples"
"s__Dorea_formicigenerans",0.615384615384615,0.769230769230769,"all pts w/ 3 samples"
"s__Roseburia_hominis",0.615384615384615,0.923076923076923,"all pts w/ 3 samples"
"s__Blautia_obeum",0.615384615384615,0.692307692307692,"all pts w/ 3 samples"
"s__Ruminococcus_bromii",0.615384615384615,0.615384615384615,"all pts w/ 3 samples"
"s__Clostridiales_bacterium_KLE1615",0.615384615384615,0.846153846153846,"all pts w/ 3 samples"
"s__Bacteroides_thetaiotaomicron",0.615384615384615,0.769230769230769,"all pts w/ 3 samples"
"s__Bacteroides_eggerthii",0.538461538461538,0.615384615384615,"all pts w/ 3 samples"
"s__Parabacteroides_distasonis",0.538461538461538,0.692307692307692,"all pts w/ 3 samples"
"s__Bacteroides_caccae",0.538461538461538,0.615384615384615,"all pts w/ 3 samples"
