"effect","group","term","estimate","std.error","statistic","p.value","padj"
"fixed",NA,"k__Bacteria_tertmed:Days",-0.0109345283301292,0.0829368495317557,-0.131841616746515,0.895109568443349,1
"fixed",NA,"k__Bacteria_terthigh:Days",0.0178839837964357,0.118819449153079,0.150513942994258,0.880359151129475,1
"fixed",NA,"p__Bacteroidota_tertmed:Days",-0.0166385321973981,0.074344667984313,-0.223802629677611,0.822910883681722,1
"fixed",NA,"p__Bacteroidota_terthigh:Days",0.00362423974714817,0.0785827683044016,0.0461200314693567,0.963214580191548,1
"fixed",NA,"p__Firmicutes_tertmed:Days",0.00016215098066925,0.0669440612475877,0.00242218619019164,0.998067376925235,1
"fixed",NA,"p__Firmicutes_terthigh:Days",0.0114073022028929,0.0948282146704123,0.12029438962381,0.904249948272222,1
"fixed",NA,"p__Actinobacteria_tertmed:Days",0.0146568033765844,0.0843063100814048,0.173851795463851,0.861981937253936,1
"fixed",NA,"p__Actinobacteria_terthigh:Days",0.0253391413254174,0.0895140484315954,0.283074464504653,0.777119755725461,1
"fixed",NA,"p__Proteobacteria_tertmed:Days",0.0105063477879394,0.0843315101707954,0.124583892386856,0.900852981047822,1
"fixed",NA,"p__Proteobacteria_terthigh:Days",0.00378065680489804,0.0838523527646842,0.0450870688805566,0.964037908479951,1
"fixed",NA,"c__Bacteroidia_tertmed:Days",-0.0149934890195862,0.0768164526709015,-0.195185907423005,0.84524741113216,1
"fixed",NA,"c__Bacteroidia_terthigh:Days",0.00193657432148154,0.0736953411054029,0.0262781105621284,0.979035514122687,1
"fixed",NA,"c__Clostridia_tertmed:Days",-0.00617655158572311,0.00736733941014205,-0.838369354508132,0.401823295309767,1
"fixed",NA,"c__Clostridia_terthigh:Days",2.66056091847107,0.00748728094495322,355.344074575486,0,0
"fixed",NA,"c__Negativicutes_tertmed:Days",-0.00736217015326719,0.079222441136594,-0.0929303622514417,0.925958884524255,1
"fixed",NA,"c__Negativicutes_terthigh:Days",0.0175357432094101,0.116627774403742,0.15035649354591,0.880483364114428,1
"fixed",NA,"c__Actinomycetia_tertmed:Days",0.0191087036856671,0.0831276461018992,0.22987182461829,0.818191370783301,1
"fixed",NA,"c__Actinomycetia_terthigh:Days",0.0319321146620382,0.0913241063939226,0.349657017439627,0.726596114883971,1
"fixed",NA,"c__Betaproteobacteria_tertmed:Days",0.000810702108352984,0.00499917515154821,0.162167174339134,0.871174208684081,1
"fixed",NA,"c__Betaproteobacteria_terthigh:Days",0.420036519849826,0.0049779588812615,84.3792666570564,0,0
"fixed",NA,"c__Coriobacteriia_tertmed:Days",0.00357325785076443,0.0676817602542091,0.0527949899255496,0.957895253395609,1
"fixed",NA,"c__Coriobacteriia_terthigh:Days",0.00623437924074238,0.0930069440948096,0.0670313308475888,0.946556760874456,1
"fixed",NA,"c__Deltaproteobacteria_tertmed:Days",0.0112008052914071,0.0747976366613044,0.14974811760599,0.88096334380812,1
"fixed",NA,"c__Deltaproteobacteria_terthigh:Days",0.0135741993538094,0.0940917054502625,0.144265632011366,0.885290716049733,1
"fixed",NA,"c__Bacilli_tertmed:Days",0.0247430848978129,0.0728449056782447,0.339668020260784,0.734106547450908,1
"fixed",NA,"c__Bacilli_terthigh:Days",-0.00308709192611782,0.0758595023607346,-0.0406948612902545,0.967539158300088,1
"fixed",NA,"c__Firmicutes_unclassified_tertmed:Days",-0.0218598537004028,0.0898009135705236,-0.243425738461286,0.807675606950287,1
"fixed",NA,"c__Firmicutes_unclassified_terthigh:Days",-0.0266903682224289,0.0980958477807361,-0.272084586924486,0.78555698049131,1
"fixed",NA,"c__CFGB79266_tertlow:Days",-0.00207781697443681,0.0839238626312452,-0.024758357269214,0.980247706952434,1
"fixed",NA,"c__CFGB28775_tertlow:Days",-0.00953444972449416,0.17307967222113,-0.0550870567417804,0.956069107711002,1
"fixed",NA,"c__Gammaproteobacteria_tertmed:Days",-0.0243120781358349,0.100871315318691,-0.241020730809583,0.809539049216208,1
"fixed",NA,"c__Gammaproteobacteria_terthigh:Days",-0.0188401391959303,0.0922973310301409,-0.204124420345133,0.838256271403045,1
"fixed",NA,"o__Bacteroidales_tertmed:Days",-0.0149934890195862,0.0768164526709015,-0.195185907423005,0.84524741113216,1
"fixed",NA,"o__Bacteroidales_terthigh:Days",0.00193657432148154,0.0736953411054029,0.0262781105621284,0.979035514122687,1
"fixed",NA,"o__Eubacteriales_tertmed:Days",-0.00589948264046549,0.00737261350808773,-0.800188784342726,0.42360142696784,1
"fixed",NA,"o__Eubacteriales_terthigh:Days",2.66234684293057,0.00749362176769772,355.281721637857,0,0
"fixed",NA,"o__Bifidobacteriales_tertmed:Days",0.0107274685248829,0.0737504387731575,0.145456334949797,0.88435058869154,1
"fixed",NA,"o__Bifidobacteriales_terthigh:Days",0.0292108381414217,0.0914695556513663,0.319350388590035,0.749460826814968,1
"fixed",NA,"o__Acidaminococcales_tertmed:Days",0.000716605002029843,0.067205771915227,0.0106628490620384,0.991492438572648,1
"fixed",NA,"o__Acidaminococcales_terthigh:Days",0.00951289720618303,0.10688220612719,0.089003563370152,0.929079078201598,1
"fixed",NA,"o__Veillonellales_tertmed:Days",0.00538573385584298,0.095256253875043,0.056539425357919,0.954912088846384,1
"fixed",NA,"o__Veillonellales_terthigh:Days",-0.00330348634022868,0.102061393182967,-0.0323676390964648,0.974178869219117,1
"fixed",NA,"o__Burkholderiales_tertmed:Days",0.000810702108352984,0.00499917515154821,0.162167174339134,0.871174208684081,1
"fixed",NA,"o__Burkholderiales_terthigh:Days",0.420036519849826,0.0049779588812615,84.3792666570564,0,0
"fixed",NA,"o__Coriobacteriales_tertmed:Days",-0.0059776250950273,0.0634405235970211,-0.0942240819605717,0.924931155235564,1
"fixed",NA,"o__Coriobacteriales_terthigh:Days",-0.0106793426450023,0.0857207861159331,-0.124582882739305,0.900853780402481,1
"fixed",NA,"o__Desulfovibrionales_tertmed:Days",0.0112008052914071,0.0747976366613044,0.14974811760599,0.88096334380812,1
"fixed",NA,"o__Desulfovibrionales_terthigh:Days",0.0135741993538094,0.0940917054502625,0.144265632011366,0.885290716049733,1
"fixed",NA,"o__Lactobacillales_tertmed:Days",0.0247430848978129,0.0728449056782447,0.339668020260784,0.734106547450908,1
"fixed",NA,"o__Lactobacillales_terthigh:Days",-0.00308709192611782,0.0758595023607346,-0.0406948612902545,0.967539158300088,1
"fixed",NA,"o__Firmicutes_unclassified_tertmed:Days",-0.0218598537004028,0.0898009135705236,-0.243425738461286,0.807675606950287,1
"fixed",NA,"o__Firmicutes_unclassified_terthigh:Days",-0.0266903682224289,0.0980958477807361,-0.272084586924486,0.78555698049131,1
"fixed",NA,"o__Clostridia_unclassified_tertlow:Days",-0.0283941619481418,0.11985589244559,-0.236902511580994,0.812732421487335,1
"fixed",NA,"o__OFGB79266_tertlow:Days",-0.00207781697443681,0.0839238626312452,-0.024758357269214,0.980247706952434,1
"fixed",NA,"o__Eggerthellales_tertmed:Days",0.00309853132459781,0.079069374778165,0.0391875025354756,0.968740897515944,1
"fixed",NA,"o__Eggerthellales_terthigh:Days",0.00788672088809888,0.0917319203792922,0.0859757525568956,0.931485692496028,1
"fixed",NA,"o__OFGB28775_tertlow:Days",-0.00953444972449416,0.17307967222113,-0.0550870567417804,0.956069107711002,1
"fixed",NA,"o__Enterobacterales_tertmed:Days",-0.0221097771560126,0.10218248159543,-0.216375417887692,0.82869512609805,1
"fixed",NA,"o__Enterobacterales_terthigh:Days",-0.0150476370486001,0.0844296915652641,-0.178226839037642,0.858544832645406,1
"fixed",NA,"f__Bacteroidaceae_tertmed:Days",-0.00117658594721086,0.0730503896146656,-0.0161064979039434,0.987149429610517,1
"fixed",NA,"f__Bacteroidaceae_terthigh:Days",0.0328433030735926,0.118216017483366,0.277824475674068,0.781147101675072,1
"fixed",NA,"f__Lachnospiraceae_tertmed:Days",0.00248921158700031,0.0613934514989418,0.0405452296006394,0.967658448660483,1
"fixed",NA,"f__Lachnospiraceae_terthigh:Days",2.87265325717912,1.2546461445145,2.28961231000373,0.0220438007535226,1
