"sample","s__Veillonella_atypica","s__Eubacterium_sp_CAG_274","s__Bacteroides_intestinalis","s__Phascolarctobacterium_succinatutens","s__Klebsiella_pneumoniae","f__Enterococcaceae","s__Bifidobacterium_bifidum","s__Bacteroides_salyersiae","s__Clostridium_sp_CAG_299","s__Subdoligranulum_sp"
"FF08034089",0,0,0,0,0,0,0,2.82107,0.23145,0
"FF08034109",0,0,0,0,0,0,0,0,0,0
"FF08034128",0,0,0,1.14024,0,0,0,0,0,0
"FF08034155",0,0,0,0,0,0,0,0,2.39015,0
"FF08034158",0,0,1.73923,0.31885,0,0,0,0.30346,0.03562,0
"FF08034206",0,0,0,0,0,0.03106,0,0.59765,0,0
"FF08034243",0,0,0,0,0,0,0,0,0,0
"FF08034294",0,0,0,0,4.00953,0,0,0,0,0
"FF08034327",0,0,0,0,0,0,0,0,0,0
"FF08034361",0,0,0,0,0,0,0.21695,0,0.62266,0
"FF08034388",0,0,0,0,0,0,0,0,0.2409,0
"FF08034405",0,0,0,0,0,0,0,0,0,0
"FF08034459",0,0,0,0,0,0,0,0,0,0
"FF08034475",0,0,0,0,0,0,0,0,0,0
"FF08034479",0.07573,0,0,0,0,0,0,0,0,0
"FF08034484",0,0,0,0,1.91827,0,0,0,0,0
"FF08034499",0,0,1.86175,0,0,0,0.41885,0,0,0
"FF08034506",0,0,0,0,0,0,0.48851,0,0,0
"FF08034529",0,0,0,0,0,0,0,0.36781,0,0
"FF08034603",0,0,0,0,0,1.07796,0,0,0.15949,0
"FF08034660",0,0,0,0,0,0,0,0,0,0
"FF08034693",0,0.86388,0,0,0,0,0,0,0,0
"FF08034702",0,0,3.47404,0,0.07669,0,0,0,0,0
"FF08034754",0,0,0,1.45798,0,0,0.46521,0,0,0
"FF08034797",0,0.03412,0,0,0,0,0,0,0,0
"FF08034850",0,0,0,0,0,0,0.01479,0,0,0
"FF08034932",0.52709,0,0,0,1.17054,0.02263,0,0,0,0
"FF08034935",0,0,7.74231,0,0,0,0,0,0,0
"FF08034968",0,0,0,0.63826,0.09526,0,0,0,0,0
"FF08035006",0,0,0.02191,0,0,0,0,0,0,0
"FF08035019",0,0,0,0,0,0,0,0,0,0
"FF08037435",0,0,0,0.8,0,0,0,0.79178,0,0.28894
"FF08037452",0,0.0215,0.32984,0,0,0,0.22032,0,0,1.1224
"FF08037511",0.03172,0,0,0,2.49103,0,0,0,0,0
"FF08037524",0,0,0,0,21.59364,0,0,0.09036,0,0.40718
"FF08037529",0,0,0,0,0,0.02647,0,0,0,2.28005
"FF08037549",0,0,0,0,0,0,0,0,0.10059,0
"FF08037732",0,0,1.45294,0,0.03944,0.37256,0,0,0,0.90562
"FF08037772",0,0,0,0,0,0,0,0,0,0.42115
"FF08037786",0,0,0,0,0,0,0,0,0,0
"FF08037834",0,0,0.6692,0,0,0,0,0,0.06237,0
"FF08037861",0,0.51699,0,0,0,0,0,0,0,0.01005
"FF08037872",0.05808,0,0,0,10.61461,1.30696,0.84521,0,0,0
"FF08037907",0,0,0.11758,1.07065,0,0.03149,0,0.6381,0,0.53294
