M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	species	hits	genomes of the species bin(s)
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	Proteus_mirabilis 	7	275
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	Salmonella_enterica 	1	8517
M2	uVSG	-	Erysipelotrichaceae_bacterium 	17	442
M2	uVSG	-	Erysipelotrichaceae_unclassified_SGB71090 	7	46
M2	uVSG	-	Eubacteriaceae_bacterium 	5	307
M2	uVSG	-	Eubacterium_rectale 	4	8042
M2	uVSG	-	Clostridia_bacterium 	3	13613
M2	uVSG	-	Ruminococcus_sp_NSJ_71 	2	1587
M2	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M2	uVSG	-	Enterocloster_clostridioformis 	2	158
M2	uVSG	-	Clostridium_sp_AF34_10BH 	1	2365
M2	uVSG	-	GGB31769_SGB77503 	1	1
M2	uVSG	-	Lachnospira_SGB5077 	1	505
M2	uVSG	-	GGB9633_SGB15090 	1	688
M2	uVSG	-	GGB3637_SGB4930 	1	97
M2	uVSG	-	Pseudoruminococcus_massiliensis 	1	556
M2	uVSG	-	Eubacterium_sp_AM28_29 	1	1257
M2	uVSG	-	GGB3256_SGB4303 	1	1772
M2	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M2	uVSG	-	Bacteroides_uniformis 	1	6758
M4	uVSG	-	Ligilactobacillus_ruminis 	114	438
M4	uVSG	-	Erysipelatoclostridium_ramosum 	4	477
M4	uVSG	-	GGB4585_SGB6340 	2	303
M4	uVSG	-	Streptococcus_equinus 	1	188
M4	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M4	uVSG	-	Ligilactobacillus_salivarius 	1	266
M4	uVSG	-	Streptococcus_salivarius 	1	1053
M4	uVSG	-	Ligilactobacillus_agilis 	1	28
M5	uVSG	-	Flavonifractor_plautii 	1	696
M6	uVSG	-	Gemmiger_SGB15299 	1	326
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Erwinia_amylovora 	27	42
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Escherichia_albertii 	15	164
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	GGB26304_SGB38355 	1	1
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Roseburia_inulinivorans 	1	1121
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Escherichia_coli 	1	18595
