"taxon","structural_zero (Response = Non_Responder)","structural_zero (Response = Responder)"
"Candidatus_Methanomethylophilus_alvus",FALSE,TRUE
"GGB269_SGB376",FALSE,FALSE
"GGB260_SGB362",FALSE,FALSE
"Methanomassiliicoccaceae_archaeon_DOK",FALSE,TRUE
"Methanomassiliicoccaceae_unclassified_SGB380",TRUE,FALSE
"Candidatus_Methanomassiliicoccus_intestinalis",FALSE,FALSE
"GGB532_SGB711",TRUE,FALSE
"Methanobrevibacter_oralis",TRUE,FALSE
"Methanobrevibacter_smithii",FALSE,FALSE
"Methanobrevibacter_woesei",TRUE,FALSE
"Methanosphaera_stadtmanae",FALSE,FALSE
"Actinobaculum_sp_oral_taxon_183",FALSE,FALSE
"Actinomyces_bouchesdurhonensis",FALSE,FALSE
"Actinomyces_culturomici",FALSE,TRUE
"Actinomyces_dentalis",FALSE,FALSE
"Actinomyces_gerencseriae",TRUE,FALSE
"Actinomyces_graevenitzii",FALSE,FALSE
"Actinomyces_israelii",FALSE,FALSE
"Actinomyces_johnsonii",FALSE,FALSE
"Actinomyces_massiliensis",FALSE,FALSE
"Actinomyces_naeslundii",FALSE,FALSE
"Actinomyces_oris",FALSE,FALSE
"Actinomyces_radicidentis",FALSE,TRUE
"Actinomyces_SGB17132",FALSE,FALSE
"Actinomyces_sp_HMSC065F11",FALSE,TRUE
"Actinomyces_sp_ICM47",FALSE,FALSE
"Actinomyces_sp_oral_taxon_448",FALSE,FALSE
"Actinomyces_sp_ph3",FALSE,FALSE
"Actinotignum_sanguinis",TRUE,FALSE
"GGB9832_SGB15478",FALSE,TRUE
"Mobiluncus_SGB15488",TRUE,FALSE
"Pauljensenia_hongkongensis",FALSE,FALSE
"Peptidiphaga_gingivicola",TRUE,FALSE
"Schaalia_meyeri",FALSE,FALSE
"Schaalia_odontolytica",FALSE,FALSE
"Schaalia_SGB17153",FALSE,FALSE
"Schaalia_SGB17154",FALSE,FALSE
"Schaalia_SGB17157",FALSE,FALSE
"Schaalia_SGB17158",FALSE,FALSE
"Schaalia_SGB17168",FALSE,FALSE
"Schaalia_turicensis",FALSE,FALSE
"Trueperella_bernardiae",FALSE,FALSE
"Varibaculum_cambriense",TRUE,FALSE
"Varibaculum_massiliense",TRUE,FALSE
"Winkia_neuii",TRUE,FALSE
"Alloscardovia_omnicolens",FALSE,FALSE
"Bifidobacterium_adolescentis",FALSE,FALSE
"Bifidobacterium_angulatum",TRUE,FALSE
"Bifidobacterium_animalis",FALSE,FALSE
"Bifidobacterium_bifidum",FALSE,FALSE
"Bifidobacterium_breve",FALSE,FALSE
"Bifidobacterium_catenulatum",FALSE,FALSE
"Bifidobacterium_dentium",FALSE,FALSE
"Bifidobacterium_longum",FALSE,FALSE
"Bifidobacterium_mongoliense",TRUE,FALSE
"Bifidobacterium_pseudocatenulatum",FALSE,FALSE
"Bifidobacterium_pseudolongum",TRUE,FALSE
"Bifidobacterium_pullorum",FALSE,FALSE
"Bifidobacterium_ruminantium",TRUE,FALSE
"Gardnerella_vaginalis",FALSE,FALSE
"Parascardovia_denticolens",TRUE,FALSE
"Scardovia_inopinata",TRUE,FALSE
"Scardovia_wiggsiae",FALSE,FALSE
"Corynebacterium_accolens",FALSE,TRUE
"Corynebacterium_amycolatum",FALSE,FALSE
"Corynebacterium_argentoratense",FALSE,FALSE
"Corynebacterium_aurimucosum",FALSE,TRUE
"Corynebacterium_durum",FALSE,FALSE
"Corynebacterium_glutamicum",TRUE,FALSE
"Corynebacterium_parakroppenstedtii",TRUE,FALSE
"Corynebacterium_propinquum",FALSE,TRUE
"Corynebacterium_pseudokroppenstedtii",TRUE,FALSE
"Lawsonella_clevelandensis",FALSE,TRUE
"Lawsonella_SGB3665",TRUE,FALSE
"Clavibacter_michiganensis",FALSE,FALSE
"Rothia_mucilaginosa",FALSE,FALSE
"Rothia_SGB49305",FALSE,FALSE
"Tropheryma_whipplei",FALSE,TRUE
"Arachnia_propionica",TRUE,FALSE
"Propionibacterium_acidifaciens",FALSE,FALSE
"Propionibacterium_freudenreichii",FALSE,FALSE
"GGB34797_SGB14322",FALSE,FALSE
"GGB34797_SGB14323",FALSE,FALSE
"GGB8965_SGB13825",TRUE,FALSE
"GGB9412_SGB14766",FALSE,TRUE
"GGB9412_SGB14768",FALSE,TRUE
"GGB9412_SGB14770",FALSE,FALSE
"GGB30861_SGB44083",FALSE,TRUE
"GGB9421_SGB14789",FALSE,TRUE
"GGB9355_SGB14328",TRUE,FALSE
"GGB9356_SGB14329",FALSE,TRUE
"GGB9359_SGB14334",FALSE,FALSE
"GGB9361_SGB14336",FALSE,FALSE
"GGB9364_SGB14339",FALSE,FALSE
"Atopobium_deltae",TRUE,FALSE
"Atopobium_sp_oral_taxon_199",FALSE,TRUE
"Atopobium_sp_oral_taxon_416",TRUE,FALSE
"Lancefieldella_parvula",FALSE,FALSE
"Lancefieldella_rimae",FALSE,FALSE
"Olsenella_profusa",TRUE,FALSE
"Olsenella_sp_oral_taxon_807",FALSE,FALSE
"Olsenella_uli",FALSE,FALSE
"Paratractidigestivibacter_faecalis",FALSE,FALSE
"Parolsenella_catena",TRUE,FALSE
"Collinsella_aerofaciens",FALSE,FALSE
"Collinsella_bouchesdurhonensis",FALSE,FALSE
"Collinsella_intestinalis",FALSE,FALSE
"Collinsella_phocaeensis",TRUE,FALSE
"Collinsella_SGB14745",FALSE,TRUE
"Collinsella_SGB14754",FALSE,TRUE
"Collinsella_sp_AF08_23",FALSE,FALSE
"Collinsella_stercoris",TRUE,FALSE
"Collinsella_tanakaei",FALSE,FALSE
"Collinsella_massiliensis",FALSE,TRUE
"Enorma_massiliensis",FALSE,TRUE
"GGB51959_SGB72479",FALSE,FALSE
"GGB51960_SGB72480",FALSE,TRUE
"GGB9380_SGB14375",FALSE,TRUE
"GGB9380_SGB72486",FALSE,TRUE
"Olegusella_massiliensis",TRUE,FALSE
"Parvibacter_caecicola",TRUE,FALSE
"Senegalimassilia_anaerobia",FALSE,FALSE
"Senegalimassilia_faecalis",FALSE,TRUE
"Senegalimassilia_SGB14826",FALSE,FALSE
"Adlercreutzia_caecimuris",TRUE,FALSE
"Adlercreutzia_equolifaciens",FALSE,FALSE
"Adlercreutzia_muris",TRUE,FALSE
"Eggerthella_lenta",FALSE,FALSE
"Eggerthella_sinensis",FALSE,FALSE
"Eggerthella_sp_YY7918",FALSE,FALSE
"Eggerthella_timonensis",FALSE,FALSE
"Ellagibacter_isourolithinifaciens",FALSE,FALSE
"Enteroscipio_rubneri",FALSE,FALSE
"GGB45432_SGB63101",FALSE,FALSE
"GGB70023_SGB94353",FALSE,TRUE
"GGB75046_SGB102341",FALSE,TRUE
"GGB9365_SGB14341",FALSE,FALSE
"GGB9365_SGB14342",FALSE,TRUE
"GGB9423_SGB14792",TRUE,FALSE
"GGB9424_SGB14794",FALSE,FALSE
"GGB9425_SGB14795",FALSE,TRUE
"GGB9434_SGB14812",TRUE,FALSE
"Gordonibacter_pamelaeae",FALSE,FALSE
"Gordonibacter_urolithinfaciens",FALSE,FALSE
"Paraeggerthella_hongkongensis",TRUE,FALSE
"Raoultibacter_massiliensis",FALSE,FALSE
"Raoultibacter_sp_Marseille_P8396",TRUE,FALSE
"Raoultibacter_timonensis",FALSE,FALSE
"Rubneribacter_badeniensis",FALSE,TRUE
"Slackia_exigua",FALSE,TRUE
"Slackia_isoflavoniconvertens",FALSE,FALSE
"Slackia_piriformis",FALSE,FALSE
"Slackia_SGB14778",FALSE,TRUE
"bacterium_210820_DFI_6_37",FALSE,FALSE
"bacterium_210917_DFI_7_65",FALSE,FALSE
"bacterium_210917_SL_2_15",FALSE,FALSE
"bacterium_OL_1",FALSE,FALSE
"GGB28898_SGB41580",FALSE,TRUE
"GGB79097_SGB105802",FALSE,FALSE
"Bacteroidaceae_bacterium",FALSE,TRUE
"Bacteroides_caccae",FALSE,FALSE
"Bacteroides_caecigallinarum",FALSE,FALSE
"Bacteroides_cellulosilyticus",FALSE,FALSE
"Bacteroides_clarus",FALSE,FALSE
"Bacteroides_congonensis",FALSE,FALSE
"Bacteroides_cutis",FALSE,FALSE
"Bacteroides_eggerthii",FALSE,FALSE
"Bacteroides_faecalis",FALSE,TRUE
"Bacteroides_faecis",FALSE,FALSE
"Bacteroides_finegoldii",FALSE,FALSE
"Bacteroides_fluxus",FALSE,FALSE
"Bacteroides_fragilis",FALSE,FALSE
"Bacteroides_gallinarum",FALSE,FALSE
"Bacteroides_helcogenes",TRUE,FALSE
"Bacteroides_heparinolyticus",TRUE,FALSE
"Bacteroides_ilei",FALSE,TRUE
"Bacteroides_intestinalis",FALSE,FALSE
"Bacteroides_mediterraneensis",FALSE,FALSE
