"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj","pres"
"fixed","ResponseResponder",-0.217417297533612,0.57825715530202,40,-0.375987215272859,0.708913224014256,"k__Bacteria","GMM",1,88
"fixed","ResponseResponder:Days",-0.00658200092852288,0.0278002515340068,42,-0.236760481122677,0.813993593813312,"k__Bacteria","GMM",1,88
"fixed","ResponseResponder:I(Days^2)",0.000106629854149219,0.00023247224190196,42,0.458677789988311,0.648830395717836,"k__Bacteria","GMM",1,88
"fixed","ResponseResponder",0.674521073549344,5.21693717477404,40,0.129294459747555,0.897772622709795,"p__Bacteroidota","GMM",1,88
"fixed","ResponseResponder:Days",-0.137452732350754,0.219884311370471,42,-0.625113867806455,0.53527813762006,"p__Bacteroidota","GMM",1,88
"fixed","ResponseResponder:I(Days^2)",0.00150574105102493,0.00183792679414492,42,0.819260623340258,0.417262496704796,"p__Bacteroidota","GMM",1,88
"fixed","ResponseResponder",-1.7383260655362,4.86128030915004,40,-0.357586058607702,0.722533074196755,"p__Firmicutes","GMM",1,88
"fixed","ResponseResponder:Days",0.167669092612898,0.193959438828132,42,0.864454411839533,0.392248824814692,"p__Firmicutes","GMM",1,88
"fixed","ResponseResponder:I(Days^2)",-0.00162627131735819,0.0016166656104195,42,-1.00594167827705,0.320204198146612,"p__Firmicutes","GMM",1,88
"fixed","ResponseResponder",0.599643074671059,1.21609949084681,40,0.493087185040681,0.62464723005338,"p__Actinobacteria","GMM",1,87
"fixed","ResponseResponder:Days",-0.038571145399668,0.0535358671372344,42,-0.72047297376905,0.475224834295736,"p__Actinobacteria","GMM",1,87
"fixed","ResponseResponder:I(Days^2)",0.000237326128212595,0.000448400031132234,42,0.529273219748299,0.599402425245071,"p__Actinobacteria","GMM",1,87
"fixed","ResponseResponder",0.286489913343959,1.4033499287325,40,0.204147167772129,0.839273649017797,"p__Proteobacteria","GMM",1,85
"fixed","ResponseResponder:Days",-0.020655277801108,0.0317511093408653,42,-0.650537201058472,0.518888373417891,"p__Proteobacteria","GMM",1,85
"fixed","ResponseResponder:I(Days^2)",7.7627112880756e-05,0.00025975367002081,42,0.298848955144837,0.766529027667993,"p__Proteobacteria","GMM",1,85
