"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj"
"fixed","irAE.sample",0.21282586056684,0.555035734999753,45,0.383445329996518,0.703195224240843,"k__Bacteria","GMM",1
"fixed","irAE.sample",-5.51290707809942,4.53998256331543,45,-1.21430137698007,0.230966792771472,"p__Bacteroidota","GMM",1
"fixed","irAE.sample",4.13972747771056,4.08214905665267,45,1.01410492861942,0.315954437574026,"p__Firmicutes","GMM",1
"fixed","irAE.sample",2.46490834243154,1.07955988629866,45,2.28325299384978,0.0271895386540571,"p__Actinobacteria","GMM",1
"fixed","irAE.sample",-0.550637070928387,0.698192619166872,45,-0.788660687340754,0.434445707467219,"p__Proteobacteria","GMM",1
"fixed","irAE.sample",-4.74770467565842,4.5900349511231,45,-1.03435044094746,0.306499233065529,"c__Bacteroidia","GMM",1
"fixed","irAE.sample",4.15436618838494,3.65867449000811,45,1.13548395729945,0.262184275962215,"c__Clostridia","GMM",1
"fixed","irAE.sample",0.106344002132072,0.395702814516556,45,0.268747146168258,0.789352574911224,"c__Negativicutes","GMM",1
"fixed","irAE.sample",2.6298278669598,1.04057847979771,45,2.52727489374088,0.0150776621191939,"c__Actinomycetia","ZIGMM",1
"fixed","irAE.sample",0.0522539126114175,0.706284007121158,45,0.0739842783987232,0.941350796446558,"c__CFGB629","ZIGMM",1
"fixed","irAE.sample",0.085101919579909,0.162281206889436,45,0.52441019641843,0.602567084401873,"c__Betaproteobacteria","ZIGMM",1
"fixed","irAE.sample",0.481308926037668,0.253373074382892,45,1.89960565940138,0.0639053545671649,"c__Coriobacteriia","GMM",1
"fixed","irAE.sample",-0.0336151918497179,0.0774066901106732,45,-0.434267268134785,0.666169581297976,"c__Deltaproteobacteria","ZIGMM",1
"fixed","irAE.sample",-0.419196662101719,0.434582081441396,45,-0.964597207301673,0.339901944760942,"c__Bacilli","ZIGMM",1
"fixed","irAE.sample",0.518616532298965,0.251454878315544,45,2.06246359495228,0.0449644283588313,"c__Firmicutes_unclassified","ZIGMM",1
"fixed","irAE.sample",0.0716206309257188,0.0438580724436837,45,1.63300908898091,0.109445720449036,"c__CFGB79266","ZIGMM",1
"fixed","irAE.sample",-0.0011469141801456,0.00557137263448885,45,-0.205858458119598,0.83782997469231,"c__CFGB28775","ZIGMM",1
"fixed","irAE.sample",-0.293006461051318,0.399343461713518,45,-0.733720441531895,0.466924817544615,"c__Gammaproteobacteria","ZIGMM",1
"fixed","irAE.sample",-4.74770467565842,4.5900349511231,45,-1.03435044094746,0.306499233065529,"o__Bacteroidales","GMM",1
"fixed","irAE.sample",4.20542596765891,3.64247567646139,45,1.15455155811622,0.254368647449223,"o__Eubacteriales","GMM",1
"fixed","irAE.sample",4.38600497133098,1.20718093616435,45,3.63326228897128,0.000714805862611763,"o__Bifidobacteriales","ZIGMM",1
"fixed","irAE.sample",0.0522539126114175,0.706284007121158,45,0.0739842783987232,0.941350796446558,"o__OFGB629","ZIGMM",1
"fixed","irAE.sample",-0.0622550816729401,0.2345417867812,45,-0.265432793564487,0.791888308904032,"o__Acidaminococcales","ZIGMM",1
"fixed","irAE.sample",-0.0759620766136105,0.19513156409329,45,-0.389286464066336,0.698900421544466,"o__Veillonellales","ZIGMM",1
"fixed","irAE.sample",0.085101919579909,0.162281206889436,45,0.52441019641843,0.602567084401873,"o__Burkholderiales","ZIGMM",1
"fixed","irAE.sample",0.499077053500239,0.181091781464639,45,2.75593430835894,0.00842064885981801,"o__Coriobacteriales","ZIGMM",1
"fixed","irAE.sample",-0.0336151918497179,0.0774066901106732,45,-0.434267268134785,0.666169581297976,"o__Desulfovibrionales","ZIGMM",1
"fixed","irAE.sample",-0.419196662101719,0.434582081441396,45,-0.964597207301673,0.339901944760942,"o__Lactobacillales","ZIGMM",1
"fixed","irAE.sample",0.518616532298965,0.251454878315544,45,2.06246359495228,0.0449644283588313,"o__Firmicutes_unclassified","ZIGMM",1
"fixed","irAE.sample",-0.00134805789599797,0.0171257895963138,45,-0.0787150798750982,0.937608243361647,"o__Clostridia_unclassified","ZIGMM",1
"fixed","irAE.sample",0.0716206309257188,0.0438580724436837,45,1.63300908898091,0.109445720449036,"o__OFGB79266","ZIGMM",1
"fixed","irAE.sample",0.00821160293402445,0.141927946694992,45,0.0578575476165485,0.954118256568647,"o__Eggerthellales","ZIGMM",1
"fixed","irAE.sample",-0.0011469141801456,0.00557137263448885,45,-0.205858458119598,0.83782997469231,"o__OFGB28775","ZIGMM",1
"fixed","irAE.sample",-0.349940118480858,0.420611974563507,45,-0.831978497150518,0.40981452379582,"o__Enterobacterales","ZIGMM",1
"fixed","irAE.sample",-0.74357608655537,3.36598938855563,45,-0.220908624692499,0.826162873482736,"f__Bacteroidaceae","GMM",1
"fixed","irAE.sample",3.46963246786619,2.38057720898329,45,1.45747529413172,0.151928904908566,"f__Lachnospiraceae","GMM",1
"fixed","irAE.sample",4.38600497133098,1.20718093616435,45,3.63326228897128,0.000714805862611763,"f__Bifidobacteriaceae","ZIGMM",1
"fixed","irAE.sample",0.0522539126114175,0.706284007121158,45,0.0739842783987232,0.941350796446558,"f__FGB629","ZIGMM",1
"fixed","irAE.sample",-0.0622550816729401,0.2345417867812,45,-0.265432793564487,0.791888308904032,"f__Acidaminococcaceae","ZIGMM",1
"fixed","irAE.sample",-2.26852279647321,1.62553397408262,45,-1.39555544986592,0.169697097475286,"f__Rikenellaceae","GMM",1
"fixed","irAE.sample",-0.0759620766136105,0.19513156409329,45,-0.389286464066336,0.698900421544466,"f__Veillonellaceae","ZIGMM",1
"fixed","irAE.sample",0.199901206038189,0.455997798834584,45,0.43838195392409,0.663206837507356,"f__Clostridiaceae","GMM",1
"fixed","irAE.sample",-0.409567816994149,0.674016919667558,45,-0.607652130151507,0.546472692422914,"f__Tannerellaceae","GMM",1
"fixed","irAE.sample",0.116432647222148,0.175709858353129,45,0.662641517746545,0.510940071256228,"f__Sutterellaceae","ZIGMM",1
"fixed","irAE.sample",1.10746093097407,2.20280760579115,45,0.502749730871899,0.617591981471971,"f__Oscillospiraceae","GMM",1
"fixed","irAE.sample",0.5002576109028,0.18102673758665,45,2.76344598357106,0.00825716747174722,"f__Coriobacteriaceae","ZIGMM",1
"fixed","irAE.sample",-0.0336151918497179,0.0774066901106732,45,-0.434267268134785,0.666169581297976,"f__Desulfovibrionaceae","ZIGMM",1
"fixed","irAE.sample",0.127767086840004,0.420586363128519,45,0.303783237025596,0.762693268655803,"f__Odoribacteraceae","ZIGMM",1
"fixed","irAE.sample",-0.0328635225070868,0.266476883787705,45,-0.123325978748942,0.902398158118217,"f__Streptococcaceae","ZIGMM",1
"fixed","irAE.sample",0.518616532298965,0.251454878315544,45,2.06246359495228,0.0449644283588313,"f__Firmicutes_unclassified","ZIGMM",1
"fixed","irAE.sample",0.0398969322331004,0.435381107125043,45,0.091636801827604,0.927393332737666,"f__Eubacteriales_unclassified","GMM",1
"fixed","irAE.sample",-0.222320582495281,0.171670835924844,45,-1.29503990178396,0.201911540022172,"f__Lactobacillaceae","ZIGMM",1
"fixed","irAE.sample",-0.00134805789599797,0.0171257895963138,45,-0.0787150798750982,0.937608243361647,"f__Clostridia_unclassified","ZIGMM",1
"fixed","irAE.sample",0.0716206309257188,0.0438580724436837,45,1.63300908898091,0.109445720449036,"f__FGB79266","ZIGMM",1
"fixed","irAE.sample",0.00821160293402445,0.141927946694992,45,0.0578575476165485,0.954118256568647,"f__Eggerthellaceae","ZIGMM",1
"fixed","irAE.sample",-0.0011469141801456,0.00557137263448885,45,-0.205858458119598,0.83782997469231,"f__FGB28775","ZIGMM",1
"fixed","irAE.sample",-0.349959147613967,0.420574060693302,45,-0.832098743886087,0.409747365179467,"f__Enterobacteriaceae","ZIGMM",1
"fixed","irAE.sample",-1.30871117459705,1.58578411260893,45,-0.825277012293914,0.413568034051783,"g__Phocaeicola","GMM",1
"fixed","irAE.sample",0.516070871056586,2.52833280684834,45,0.204115087087719,0.839183899158205,"g__Bacteroides","GMM",1
"fixed","irAE.sample",4.38604909558108,1.20718343567056,45,3.63329131760719,0.000714743790986715,"g__Bifidobacterium","ZIGMM",1
"fixed","irAE.sample",1.40956227607224,1.43661052297317,45,0.981172178215044,0.331753756530821,"g__Blautia","GMM",1
"fixed","irAE.sample",-0.292573232806338,0.850731773209027,45,-0.343907729815625,0.732517511981945,"g__GGB1495","ZIGMM",1
"fixed","irAE.sample",-2.5556270714187,1.57417093217363,45,-1.62347494746956,0.111473436159352,"g__Alistipes","GMM",1
"fixed","irAE.sample",-0.0446558579240887,0.160378880315308,45,-0.27843976611069,0.781950295152564,"g__Megasphaera","ZIGMM",1
"fixed","irAE.sample",-0.0289555006921811,0.203157380172503,45,-0.142527436943687,0.887299663257772,"g__Acidaminococcus","ZIGMM",1
"fixed","irAE.sample",0.170350578985062,0.465593132488951,45,0.365878633291707,0.716170081946148,"g__Lachnospiraceae_unclassified","ZIGMM",1
"fixed","irAE.sample",-0.409567816994149,0.674016919667558,45,-0.607652130151507,0.546472692422914,"g__Parabacteroides","GMM",1
"fixed","irAE.sample",0.086683622768572,0.2849569832699,45,0.304198976890729,0.762378597031497,"g__Clostridium","GMM",1
"fixed","irAE.sample",0.101703893378002,0.062042688318931,45,1.63925671394496,0.108133397411963,"g__Parasutterella","ZIGMM",1
"fixed","irAE.sample",-0.065220447285243,0.136321974756865,45,-0.478429449115345,0.634660914876207,"g__Phascolarctobacterium","ZIGMM",1
"fixed","irAE.sample",0.196367051347372,0.110012036157547,45,1.78495970264706,0.0810095416958853,"g__Dorea","ZIGMM",1
"fixed","irAE.sample",0.504644609613842,0.179727012015836,45,2.80783953371115,0.00734945081571438,"g__Collinsella","ZIGMM",1
"fixed","irAE.sample",-0.0211673568675239,0.0437835631806929,45,-0.483454413706968,0.631117285948729,"g__Bilophila","ZIGMM",1
"fixed","irAE.sample",0.186907863145763,0.447012952584517,45,0.418126280379815,0.677843454139693,"g__Odoribacter","ZIGMM",1
"fixed","irAE.sample",0.0674078656403069,0.144747067412162,45,0.465694171532785,0.643680587943294,"g__Anaerostipes","ZIGMM",1
"fixed","irAE.sample",-0.0813783909207016,0.102595086231981,45,-0.793199693177257,0.431823996285822,"g__Dysosmobacter","ZIGMM",1
"fixed","irAE.sample",-0.0676755279837328,0.117162838663279,45,-0.57761939498777,0.566400247960828,"g__Flavonifractor","ZIGMM",1
