"M.Group.Cluster","genomeName","len","breadth_of_coverage","depth_of_coverage_mean","depth_of_coverage_median","M.Group.Type..k.u.","First.Genome.in.Cluster","Other.Genomes","sample"
"M808","VDB|0010-0092-0-0000|M808-c3098-c0-c1",18422,1,63.8888285745305,65,"uVSG","-","-","FF08034077"
"M697","VDB|0001-0113-0-0000|M697-c3861-c6-c6",8363,0.994260432859022,585.238244137102,599,"uVSG","-","-","FF08034077"
"M282","VDB|0042-004B-0-0004|M282-c3840-c1-c4",6990,0.989556509298999,148.120861645222,142,"uVSG","-","-","FF08034077"
"M738","VDB|0030-0086-0-0027|M738-c70-c0-c64",96575,0.985783070152731,123.648631331275,122,"uVSG","-","-","FF08034077"
"M948","VDB|0028-0049-0-0001|M948-c3454-c0-c2",1799,0.937743190661479,114.45643153527,141,"uVSG","-","-","FF08034077"
"M302","VDB|0040-010F-0-0000|M302-c1701-c1-c8",33749,0.923701443005719,13.6022005517418,10,"uVSG","-","-","FF08034077"
"M1107","VDB|0010-00F9-0-0002|M1107-c808-c0-c3",16989,0.867149331920655,6.25957100190062,6,"uVSG","-","-","FF08034077"
"M406","VDB|0008-0068-0-0008|M406-c692-c1-c27",40116,0.838194236713531,293.883539033457,304,"uVSG","-","-","FF08034077"
"M1303","VDB|0046-00D6-0-0000|M1303-c797-c0-c1",16544,0.835469052224371,14.3539285197511,15,"uVSG","-","-","FF08034077"
"M10","VDB|0012-0006-0-0001|M10-c1012-c0-c14",10162,0.826510529423342,3.16740088105727,3,"uVSG","-","-","FF08034077"
"M435","VDB|001F-0035-0-0003|M435-c2042-c0-c6",2330,0.766952789699571,4.97313933967543,5,"uVSG","-","-","FF08034077"
"M441","VDB|0046-0173-0-0000|M441-c2353-c2-c0",8440,0.766587677725118,1354.4629057187,1546.5,"uVSG","-","-","FF08034077"
"M441","VDB|0028-004B-0-0012|M441-c2979-c2-c0",2218,1,2280.92741208296,2528.5,"uVSG","-","-","FF08034089"
"M808","VDB|0010-0092-0-0000|M808-c3098-c0-c1",18422,1,48.2625122136576,48,"uVSG","-","-","FF08034089"
"M697","VDB|0010-00F3-0-0001|M697-c3861-c6-c0",10022,1,1317.04639792457,1155,"uVSG","-","-","FF08034089"
"M1019","VDB|002F-0015-0-0001|M1019-c3638-c0-c1",6076,1,47.0597432521396,48,"uVSG","-","-","FF08034089"
"M703","VDB|0047-0093-0-0009|M703-c1245-c0-c39",6793,0.998675106727514,49.9901238207547,50,"uVSG","-","-","FF08034089"
