M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	SGB	hits	genomes in the SGB
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	kSGB9992 	7	275
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	kSGB10073 	1	8462
M2	uVSG	-	kSGB6836 	17	252
M2	uVSG	-	uSGB71090 	7	46
M2	uVSG	-	kSGB5058 	5	128
M2	uVSG	-	kSGB4933 	4	8042
M2	uVSG	-	kSGB4289 	3	141
M2	uVSG	-	kSGB4290 	2	1587
M2	uVSG	-	kSGB4648 	2	251
M2	uVSG	-	kSGB4760 	2	142
M2	uVSG	-	kSGB4914 	1	2365
M2	uVSG	-	uSGB77503 	1	1
M2	uVSG	-	uSGB5077 	1	505
M2	uVSG	-	uSGB15090 	1	688
M2	uVSG	-	uSGB4930 	1	97
M2	uVSG	-	kSGB4280 	1	556
M2	uVSG	-	kSGB6796 	1	1257
M2	uVSG	-	uSGB4303 	1	1772
M2	uVSG	-	kSGB6754 	1	1293
M2	uVSG	-	kSGB1836 	1	6758
M4	uVSG	-	kSGB7061 	114	436
M4	uVSG	-	kSGB6744 	4	477
M4	uVSG	-	uSGB6340 	2	303
M4	uVSG	-	kSGB8022 	1	147
M4	uVSG	-	kSGB4922 	1	44
M4	uVSG	-	kSGB7082 	1	211
M4	uVSG	-	kSGB8005 	1	163
M4	uVSG	-	kSGB7081 	1	28
M5	uVSG	-	kSGB15132 	1	696
M6	uVSG	-	uSGB15299 	1	326
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	kSGB10202 	27	42
